Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
5,"Cerra, Adam",22y 304d,93 (42-0-51 45.16%),19 (0.20),17 (10-0-7 58.82%),3 (0.18)
46,"Cottrell, Matthew",22y 160d,35 (18-0-17 51.43%),14 (0.40),←,
9,"Cripps, Patrick",27y 142d,157 (49-1-107 31.53%),87 (0.55),←,
30,"Curnow, Charlie",25y 185d,82 (23-0-59 28.05%),140 (1.71),←,
12,"De Koning, Tom",23y 22d,41 (19-0-22 46.34%),12 (0.29),←,
15,"Docherty, Sam",28y 294d,142 (52-1-89 36.97%),16 (0.11),129 (46-1-82 36.05%),15 (0.12)
2,"Dow, Paddy",22y 295d,62 (16-0-46 25.81%),19 (0.31),←,
19,"Durdin, Corey",20y 115d,21 (12-0-9 57.14%),15 (0.71),←,
25,"Fisher, Zac",24y 53d,93 (28-0-65 30.11%),48 (0.52),←,
22,"Marchbank, Caleb",25y 243d,50 (12-0-38 24.00%),,43 (10-0-33 23.26%),
21,"Martin, Jack",27y 190d,133 (41-1-91 31.20%),110 (0.83),36 (16-0-20 44.44%),29 (0.81)
11,"McGovern, Mitch",27y 300d,86 (47-1-38 55.23%),104 (1.21),38 (13-0-25 34.21%),37 (0.97)
10,"McKay, Harry",24y 226d,84 (31-0-53 36.90%),169 (2.01),←,
3,"Motlop, Jesse",18y 257d,10 (5-0-5 50.00%),10 (1.00),←,
32,"Newnes, Jack",29y 164d,205 (77-2-126 38.05%),76 (0.37),50 (22-0-28 44.00%),21 (0.42)
4,"OBrien, Lochie",22y 323d,58 (21-0-37 36.21%),16 (0.28),←,
44,"Owies, Matthew",25y 141d,29 (16-0-13 55.17%),28 (0.97),←,
42,"Saad, Adam",28y 15d,150 (62-2-86 42.00%),10 (0.07),41 (19-0-22 46.34%),2 (0.05)
43,"Setterfield, Will",24y 183d,55 (22-0-33 40.00%),12 (0.22),53 (21-0-32 39.62%),12 (0.23)
1,"Silvagni, Jack",24y 233d,97 (34-0-63 35.05%),72 (0.74),←,
18,"Walsh, Sam",22y 36d,80 (33-0-47 41.25%),31 (0.39),←,
23,"Weitering, Jacob",24y 257d,131 (42-0-89 32.06%),11 (0.08),←,
33,"Young, Lewis",23y 230d,41 (24-0-17 58.54%),2 (0.05),17 (9-0-8 52.94%),1 (0.06)
Totals,Totals,24y 238d,1935 (726-8-1201 37.52%),1021 (0.53),,
C,"Voss, Michael",47y 31d,128 (54-1-73 42.58%),,19 (11-0-8 57.89%),
