St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Anderson, Dean",12,11,9,21,1,,,2.0,,,,,,1.0,,,,,,,,,
14,"Bardsley, Kristian",14,9,6,20,1,,,3.0,,,,,2.0,,,,,,,,,,
2,"Brown, Tony",10,1,3,13,1,2.0,,1.0,,,,,1.0,,,,,,,,,,
3,"Burke, Nathan",16,6,7,23,,1.0,,3.0,,,,,2.0,3.0,,,,,,,,,
34,"Daniels, Jayson",10,4,12,22,1,,,3.0,,,,,,3.0,,,,,,,,,
35,"Harvey, Robert",6,4,16,22,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
29,"Jones, Austinn",14,6,5,19,,1.0,,,,,,,1.0,1.0,,,,,,,,,
23,"Loewe, Stewart",12,8,2,14,4,3.0,,,,,,,3.0,2.0,,,,,,,,,
26,"McLaren, Joe",7,3,2,9,,,,,,,,,2.0,,,,,,,,,,
42,"McLean, Andrew",2,1,2,4,,1.0,5.0,,,,,,,3.0,,,,,,,,,
16,"Neill, Robert",11,8,7,18,,,,1.0,,,,,1.0,,,,,,,,,,
1,"Peckett, Justin",11,6,2,13,,,,,,,,,,1.0,,,,,,,,,
31,"Shanahan, Jamie",10,7,4,14,,,,,,,,,,1.0,,,,,,,,,
13,"Sierakowski, David",8,4,2,10,,,1.0,2.0,,,,,,5.0,,,,,,,,,
4,"Smith, Joel",14,9,4,18,,,,,,,,,1.0,2.0,,,,,,,,,
19,"Sziller, Steven",10,3,7,17,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,
32,"Traianidis, Jason",7,3,5,12,2,1.0,,,,,,,1.0,,,,,,,,,,
9,"Vidovic, Lazar",2,2,2,4,1,,9.0,,,,,,,,,,,,,,,,
15,"Wakelin, Darryl",4,2,2,6,,,2.0,,,,,,1.0,,,,,,,,,,
12,"Wakelin, Shane",5,2,2,7,,1.0,4.0,5.0,,,,,1.0,1.0,,,,,,,,,
7,"Winmar, Nicky",16,3,5,21,1,,,1.0,,,,,2.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,102,106,307,12,13.0,21.0,23.0,,,,,20.0,27.0,,,,,,,,,
Opposition,Opposition,201,67,108,309,15,19.0,17.0,27.0,,,,,27.0,20.0,6.0,,,,,,,,
