Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Brayshaw, Angus",9,4,9,18,,1.0,,4.0,,3.0,,5.0,2.0,1.0,,8.0,10.0,1.0,1.0,,,,71.0
37,"Chandler, Kade",,,,,,,,,,,,,,,,,,,,,,,
31,"Fritsch, Bayley",9,6,1,10,2,1.0,,2.0,,3.0,,1.0,1.0,1.0,,1.0,8.0,,3.0,1.0,,,96.0
11,"Gawn, Max",6,4,6,12,,,30.0,1.0,4.0,1.0,3.0,4.0,,2.0,,8.0,5.0,2.0,,7.0,,,92.0
4,"Harmes, James",11,6,9,20,1,1.0,,2.0,2.0,3.0,1.0,6.0,2.0,,,5.0,15.0,,1.0,,,,76.0
29,"Hunt, Jayden",7,3,3,10,,,,2.0,3.0,3.0,2.0,2.0,,2.0,,3.0,6.0,,,1.0,,,88.0
6,"Jackson, Luke",6,4,4,10,,1.0,5.0,2.0,,2.0,2.0,3.0,3.0,1.0,,7.0,3.0,2.0,3.0,1.0,,1.0,74.0
39,"Jetta, Neville",5,4,5,10,,,,1.0,2.0,,,,,,,4.0,4.0,1.0,,7.0,,,82.0
2,"Jones, Nathan",9,4,9,18,,1.0,,,3.0,4.0,,2.0,,,,2.0,15.0,,1.0,,,1.0,72.0
23,"Jordon, James",10,5,5,15,1,1.0,,6.0,,3.0,1.0,3.0,1.0,1.0,,3.0,13.0,,1.0,1.0,,2.0,73.0
15,"Langdon, Ed",13,5,9,22,1,1.0,,4.0,4.0,2.0,1.0,3.0,,,,8.0,14.0,,1.0,1.0,,,94.0
8,"Lever, Jake",15,7,3,18,,1.0,,3.0,5.0,3.0,,2.0,2.0,,,9.0,8.0,4.0,,6.0,,,98.0
1,"May, Steven",21,8,3,24,,,,,8.0,3.0,1.0,4.0,2.0,1.0,1.0,7.0,12.0,3.0,,4.0,,,100.0
25,"McDonald, Tom",12,9,6,18,2,2.0,5.0,5.0,,6.0,,5.0,2.0,2.0,2.0,6.0,11.0,2.0,2.0,1.0,,1.0,91.0
30,"Neal-Bullen, Alex",11,3,6,17,,,,,1.0,5.0,5.0,3.0,2.0,,,9.0,7.0,,,2.0,2.0,,74.0
13,"Oliver, Clayton",10,6,25,35,,,,3.0,3.0,3.0,7.0,5.0,,1.0,3.0,15.0,21.0,,,1.0,,,88.0
5,"Petracca, Christian",13,2,11,24,2,1.0,,3.0,1.0,5.0,1.0,7.0,1.0,1.0,,7.0,17.0,,2.0,1.0,2.0,,90.0
36,"Pickett, Kysaiah",7,3,4,11,1,,,4.0,1.0,3.0,,6.0,1.0,3.0,,6.0,6.0,,1.0,,3.0,,74.0
24,"Rivers, Trent",7,3,7,14,,,,,2.0,1.0,,4.0,,1.0,,3.0,9.0,,,,,,55.0
3,"Salem, Christian",11,6,7,18,,,,1.0,4.0,1.0,1.0,3.0,,1.0,,5.0,10.0,,,2.0,,,81.0
9,"Spargo, Charlie",8,2,8,16,1,,,4.0,1.0,3.0,,2.0,2.0,1.0,,7.0,9.0,,2.0,1.0,,3.0,69.0
32,"Sparrow, Tom",5,3,5,10,,1.0,,6.0,1.0,2.0,2.0,2.0,,,,6.0,4.0,,1.0,2.0,,,65.0
20,"Tomlinson, Adam",13,7,2,15,,,,2.0,4.0,2.0,,3.0,,1.0,,3.0,12.0,1.0,,7.0,,,96.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,104,147,365,11,14.0,40.0,55.0,49.0,61.0,27.0,75.0,21.0,20.0,6.0,132.0,219.0,16.0,19.0,46.0,7.0,8.0,
Opposition,Opposition,188,69,155,343,8,10.0,17.0,49.0,49.0,57.0,35.0,73.0,20.0,21.0,,143.0,203.0,9.0,7.0,46.0,2.0,7.0,
