Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
11,"Adams, Taylor",19y 240d,19 (2-0-17 10.53%),8 (0.42),←,
50,"Brogan, Dean",34y 155d,188 (100-1-87 53.46%),53 (0.28),14 (1-0-13 7.14%),3 (0.21)
47,"Bruce, Josh",20y 344d,6 (0-0-6 0.00%),3 (0.50),←,
14,"Bugg, Tomas",20y 43d,25 (2-0-23 8.00%),8 (0.32),←,
18,"Cameron, Jeremy",20y 47d,24 (2-0-22 8.33%),51 (2.13),←,
3,"Coniglio, Stephen",19y 154d,20 (2-0-18 10.00%),4 (0.20),←,
35,"Corr, Aidan",19y 1d,3 (0-0-3 0.00%),,←,
26,"Giles, Jonathan",25y 130d,28 (2-0-26 7.14%),24 (0.86),←,
38,"Gilham, Stephen",28y 258d,106 (63-1-42 59.91%),4 (0.04),7 (0-0-7 0.00%),
15,"Golds, Tim",20y 42d,3 (0-0-3 0.00%),,←,
4,"Greene, Toby",19y 235d,27 (2-0-25 7.41%),10 (0.37),←,
40,"Kennedy, Adam",20y 310d,22 (2-0-20 9.09%),,←,
25,"Miles, Anthony",21y 79d,9 (1-0-8 11.11%),1 (0.11),←,
39,"Mohr, Tim",24y 211d,21 (1-0-20 4.76%),1 (0.05),←,
7,"Palmer, Rhys",24y 94d,74 (22-0-52 29.73%),37 (0.50),21 (1-0-20 4.76%),14 (0.67)
9,"Scully, Tom",22y 3d,58 (15-1-42 26.72%),15 (0.26),27 (2-0-25 7.41%),9 (0.33)
5,"Shiel, Dylan",20y 70d,20 (1-0-19 5.00%),9 (0.45),←,
10,"Smith, Devon",19y 363d,27 (2-0-25 7.41%),17 (0.63),←,
20,"Tomlinson, Adam",19y 281d,13 (0-0-13 0.00%),3 (0.23),←,
8,"Ward, Callan",23y 38d,88 (34-0-54 38.64%),44 (0.50),28 (2-0-26 7.14%),11 (0.39)
42,"Whiley, Mark",20y 168d,4 (0-0-4 0.00%),,←,
6,"Whitfield, Lachie",18y 304d,7 (0-0-7 0.00%),1 (0.14),←,
Totals,Totals,21y 345d,792 (253-3-536 31.94%),293 (0.37),,
C,"Sheedy, Kevin",65y 145d,664 (388-6-270 58.89%),,30 (2-0-28 6.67%),
