Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",7,,2,9,,1.0,,,,,,,,1.0,,,,,,,,,
35,"Athorn, Mark",6,1,1,7,,,,,,,,,1.0,,,,,,,,,,
18,"Blakey, John",8,2,2,10,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
5,"Brockhurst, Andrew",5,1,5,10,,,,,,,,,,1.0,,,,,,,,,
49,"Bunn, Mark",5,,3,8,,,,,,,,,,,,,,,,,,,
40,"Clayton, Scott",14,2,5,19,,,,,,,,,,2.0,,,,,,,,,
36,"Dundas, Matthew",12,1,3,15,1,5.0,,2.0,,,,,1.0,,2.0,,,,,,,,
7,"Gale, Michael",12,3,5,17,1,,,3.0,,,,,3.0,2.0,,,,,,,,,
6,"Ironmonger, John",7,2,6,13,,,19.0,2.0,,,,,2.0,3.0,,,,,,,,,
21,"Kappler, Darren",17,2,4,21,1,1.0,,2.0,,,,,1.0,,,,,,,,,,
12,"Kickett, Dale",9,2,4,13,,2.0,,,,,,,2.0,3.0,,,,,,,,,
11,"Lynch, Alastair",13,7,1,14,1,5.0,,1.0,,,,,1.0,3.0,,,,,,,,,
29,"Lyon, Ross",12,2,15,27,,1.0,,2.0,,,,,,1.0,,,,,,,,,
16,"Matera, Wally",5,2,3,8,,,,,,,,,,,,,,,,,,,
3,"Pert, Gary",6,2,1,7,,,,1.0,,,,,1.0,3.0,,,,,,,,,
9,"Rendell, Matthew",,,,,,,,,,,,,,,,,,,,,,,
1,"Roos, Paul",14,10,2,16,4,2.0,,,,,,,,1.0,,,,,,,,,
33,"Stephens, Brett",10,1,4,14,,,,,,,,,3.0,,,,,,,,,,
39,"Trewella, Mark",7,2,6,13,,1.0,,,,,,,1.0,2.0,,,,,,,,,
8,"Wynd, Jim",21,2,6,27,1,,,1.0,,,,,3.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,190,44,78,268,9,21.0,19.0,16.0,,,,,20.0,25.0,2.0,,,,,,,,
Opposition,Opposition,207,77,128,335,17,18.0,24.0,16.0,,,,,25.0,20.0,4.0,,,,,,,,
