Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16,"Croft, Matthew",,1,,,,,,1.0,,,,,,,,,,,,,,,
11,"Curley, Todd",8,5,4,12,,,,1.0,,,,,1.0,1.0,,,,,,,,,
14,"Darcy, Luke",5,3,2,7,,,1.0,3.0,,,,,,1.0,,,,,,,,,
28,"Dimattina, Paul",7,1,5,12,,,,,,,,,,,,,,,,,,,
3,"Grant, Chris",9,4,4,13,2,2.0,,2.0,,,,,,,,,,,,,,,
37,"Hargraves, Daniel",6,2,3,9,3,,1.0,,,,,,1.0,1.0,,,,,,,,,
10,"Hunter, Mark",8,1,3,11,,,,2.0,,,,,1.0,3.0,,,,,,,,,
13,"Jakovich, Allen",2,1,,2,1,1.0,,,,,,,,1.0,,,,,,,,,
6,"Johnson, Brad",9,3,3,12,,,,2.0,,,,,,2.0,,,,,,,,,
4,"Kellett, Nigel",17,4,6,23,,,,2.0,,,,,1.0,,,,,,,,,,
35,"Kretiuk, Steven",10,3,5,15,,1.0,,,,,,,,2.0,,,,,,,,,
39,"Liberatore, Tony",12,,9,21,,,,6.0,,,,,2.0,,,,,,,,,,
22,"Quill, Peter",11,3,3,14,,,,1.0,,,,,2.0,1.0,,,,,,,,,
36,"Romero, Jose",22,2,8,30,,,,1.0,,,,,2.0,,,,,,,,,,
5,"Smith, Rohan",14,3,5,19,1,,,,,,,,,1.0,,,,,,,,,
8,"Southern, Daniel",3,1,5,8,,,,2.0,,,,,,1.0,,,,,,,,,
24,"Wallis, Stephen",15,,9,24,,,,1.0,,,,,5.0,,,,,,,,,,
25,"Watts, Jason",3,2,2,5,2,,,,,,,,,1.0,,,,,,,,,
7,"West, Scott",6,,4,10,,,,2.0,,,,,,1.0,,,,,,,,,
45,"Wira, Brad",8,,2,10,,,,,,,,,2.0,1.0,,,,,,,,,
15,"Wynd, Scott",8,2,9,17,,,29.0,2.0,,,,,1.0,1.0,2.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,183,41,91,274,9,5.0,31.0,28.0,,,,,18.0,18.0,2.0,,,,,,,,
Opposition,Opposition,191,47,64,255,11,5.0,15.0,46.0,,,,,18.0,18.0,4.0,,,,,,,,
