Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
10,"Betheras, Rupert",26y 153d,57 (21-0-36 36.84%),16 (0.28),←,
5,"Buckley, Nathan",29y 273d,188 (70-2-116 37.77%),191 (1.02),168 (66-2-100 39.88%),170 (1.01)
17,"Burns, Scott",27y 123d,118 (45-1-72 38.56%),51 (0.43),←,
8,"Clement, James",25y 233d,109 (39-0-70 35.78%),46 (0.42),25 (13-0-12 52.00%),8 (0.32)
34,"Cloke, Jason",19y 354d,4 (3-0-1 75.00%),1 (0.25),←,
32,"Cummings, Scott",28y 97d,126 (63-5-58 51.98%),348 (2.76),3 (2-0-1 66.67%),5 (1.67)
1,"Davis, Leon",20y 312d,38 (16-0-22 42.11%),35 (0.92),←,
19,"Davis, Nick",22y 26d,56 (21-0-35 37.50%),60 (1.07),←,
4,"Didak, Alan",19y 69d,7 (4-0-3 57.14%),4 (0.57),←,
25,"Fraser, Josh",20y 110d,47 (21-0-26 44.68%),29 (0.62),←,
9,"Freeborn, Glenn",29y 78d,117 (61-0-56 52.14%),60 (0.51),62 (23-0-39 37.10%),33 (0.53)
6,"Holland, Brodie",22y 112d,62 (22-0-40 35.48%),76 (1.23),26 (14-0-12 53.85%),39 (1.50)
18,"Licuria, Paul",24y 111d,72 (25-0-47 34.72%),16 (0.22),62 (23-0-39 37.10%),14 (0.23)
24,"Lockyer, Tarkyn",22y 177d,61 (24-0-37 39.34%),30 (0.49),←,
37,"Lonie, Ryan",19y 52d,25 (13-0-12 52.00%),12 (0.48),←,
27,"McGough, Mark",17y 307d,2 (2-0-0 100.00%),2 (1.00),←,
12,"McKee, Steven",23y 309d,43 (22-0-21 51.16%),7 (0.16),23 (12-0-11 52.17%),6 (0.26)
35,"Prestigiacomo, Simon",24y 84d,95 (34-0-61 35.79%),2 (0.02),←,
23,"Rocca, Anthony",24y 253d,123 (49-0-74 39.84%),176 (1.43),101 (38-0-63 37.62%),165 (1.63)
29,"Scotland, Heath",21y 278d,29 (8-0-21 27.59%),3 (0.10),←,
15,"Steinfort, Carl",25y 24d,86 (44-0-42 51.16%),24 (0.28),21 (11-0-10 52.38%),5 (0.24)
14,"Wakelin, Shane",27y 256d,120 (55-2-63 46.67%),19 (0.16),26 (14-0-12 53.85%),
Totals,Totals,23y 272d,1585 (662-10-913 41.77%),1208 (0.76),,
C,"Malthouse, Mick",48y 251d,427 (244-4-179 57.61%),,49 (21-0-28 42.86%),
