Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",26y 241d,188 (105-0-83 55.85%),178 (0.95),←,
17,"Bruce, Josh",30y 45d,152 (68-1-83 45.07%),233 (1.53),39 (26-0-13 66.67%),62 (1.59)
31,"Dale, Bailey",26y 1d,103 (57-0-46 55.34%),75 (0.73),←,
5,"Dunkley, Josh",25y 195d,111 (63-0-48 56.76%),61 (0.55),←,
44,"English, Tim",24y 347d,80 (45-0-35 56.25%),44 (0.55),←,
38,"Garcia, Riley",21y 174d,14 (8-0-6 57.14%),7 (0.50),←,
43,"Gardner, Ryan",25y 52d,39 (24-0-15 61.54%),2 (0.05),←,
29,"Hannan, Mitch",28y 136d,73 (42-0-31 57.53%),73 (1.00),23 (14-0-9 60.87%),18 (0.78)
39,"Johannisen, Jason",29y 257d,174 (90-0-84 51.72%),67 (0.39),←,
42,"Keath, Alex",30y 184d,84 (50-1-33 60.12%),5 (0.06),54 (34-0-20 62.96%),4 (0.07)
24,"Khamis, Buku",22y 121d,8 (6-0-2 75.00%),6 (0.75),←,
21,"Liberatore, Tom",30y 68d,191 (93-0-98 48.69%),72 (0.38),←,
11,"Macrae, Jack",27y 354d,203 (109-0-94 53.69%),47 (0.23),←,
27,"McComb, Robbie",26y 216d,12 (7-0-5 58.33%),6 (0.50),←,
30,"McNeil, Lachlan",21y 164d,26 (19-0-7 73.08%),17 (0.65),←,
33,"Naughton, Aaron",22y 235d,95 (54-0-41 56.84%),140 (1.47),←,
20,"Richards, Ed",23y 20d,80 (42-0-38 52.50%),24 (0.30),←,
6,"Smith, Bailey",21y 228d,79 (47-0-32 59.49%),38 (0.48),←,
1,"Treloar, Adam",29y 136d,208 (92-1-115 44.47%),124 (0.60),35 (22-0-13 62.86%),27 (0.77)
2,"Ugle-Hagan, Jamarra",20y 110d,17 (9-0-8 52.94%),22 (1.29),←,
19,"Weightman, Cody",21y 189d,35 (20-0-15 57.14%),56 (1.60),←,
14,"West, Rhylee",22y 11d,22 (15-0-7 68.18%),14 (0.64),←,
34,"Williams, Bailey",24y 286d,99 (54-0-45 54.55%),16 (0.16),←,
Totals,Totals,25y 116d,2093 (1119-3-971 53.46%),1327 (0.63),,
C,"Beveridge, Luke",51y 334d,178 (102-0-76 57.30%),,←,
