Notes,Previous,Current
Greater Western Sydney's highest score,"135 v Carlton - R7,2015","162 v Essendon - R23,2023"
Greater Western Sydney's biggest win,"81 v Carlton - R22,2015","126 v Essendon - R23,2023"
