Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
15,"Amon, Karl",23y 307d,51 (26-0-25 50.98%),25 (0.49),←,
10,"Boak, Travis",30y 325d,256 (123-1-132 48.24%),169 (0.66),←,
26,"Bonner, Riley",22y 107d,33 (21-0-12 63.64%),6 (0.18),←,
3,"Burton, Ryan",22y 142d,58 (31-1-26 54.31%),8 (0.14),11 (6-0-5 54.55%),3 (0.27)
18,"Butters, Zak",18y 287d,12 (7-0-5 58.33%),7 (0.58),←,
33,"Byrne-Jones, Darcy",23y 275d,77 (41-0-36 53.25%),6 (0.08),←,
17,"Clurey, Tom",25y 91d,73 (43-0-30 58.90%),,←,
22,"Dixon, Charlie",28y 272d,127 (54-1-72 42.91%),200 (1.57),62 (35-0-27 56.45%),106 (1.71)
21,"Duursma, Xavier",18y 350d,13 (7-0-6 53.85%),7 (0.54),←,
7,"Ebert, Brad",29y 81d,243 (114-1-128 47.12%),126 (0.52),167 (86-1-80 51.80%),93 (0.56)
24,"Farrell, Kane",20y 97d,11 (4-0-7 36.36%),17 (1.55),←,
27,"Garner, Joel",20y 32d,2 (2-0-0 100.00%),,←,
9,"Gray, Robbie",31y 84d,209 (101-0-108 48.33%),306 (1.46),←,
46,"Gray, Sam",27y 141d,87 (49-0-38 56.32%),77 (0.89),←,
8,"Hartlett, Hamish",28y 312d,155 (73-1-81 47.42%),73 (0.47),←,
43,"Houston, Dan",22y 41d,52 (30-0-22 57.69%),6 (0.12),←,
32,"Howard, Dougal",23y 89d,41 (22-0-19 53.66%),9 (0.22),←,
42,"Jonas, Tom",28y 164d,130 (67-1-62 51.92%),1 (0.01),←,
29,"Lycett, Scott",26y 269d,87 (55-0-32 63.22%),50 (0.57),12 (7-0-5 58.33%),5 (0.42)
6,"Motlop, Steven",28y 102d,166 (107-2-57 65.06%),192 (1.16),31 (17-0-14 54.84%),17 (0.55)
20,"Rozee, Connor",19y 151d,13 (7-0-6 53.85%),17 (1.31),←,
16,"Wines, Ollie",24y 258d,135 (74-0-61 54.81%),61 (0.45),←,
Totals,Totals,24y 280d,2031 (1058-8-965 52.09%),1363 (0.67),,
C,"Hinkley, Ken",52y 265d,150 (84-0-66 56.00%),,←,
