Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
11,"Adams, Taylor",19y 339d,30 (3-0-27 10.00%),11 (0.37),←,
50,"Brogan, Dean",34y 254d,193 (101-1-91 52.59%),53 (0.27),19 (2-0-17 10.53%),3 (0.16)
14,"Bugg, Tomas",20y 142d,32 (3-0-29 9.38%),9 (0.28),←,
18,"Cameron, Jeremy",20y 146d,36 (3-0-33 8.33%),89 (2.47),←,
3,"Coniglio, Stephen",19y 253d,29 (3-0-26 10.34%),7 (0.24),←,
1,"Davis, Phil",22y 360d,52 (14-0-38 26.92%),6 (0.12),34 (3-0-31 8.82%),5 (0.15)
26,"Giles, Jonathan",25y 229d,41 (3-0-38 7.32%),31 (0.76),←,
4,"Greene, Toby",19y 334d,37 (3-0-34 8.11%),12 (0.32),←,
2,"Hampton, Curtly",20y 168d,34 (2-0-32 5.88%),8 (0.24),←,
19,"Haynes, Nick",21y 99d,18 (1-0-17 5.56%),1 (0.06),←,
34,"Jaksch, Kristian",18y 322d,1 (0-0-1 0.00%),1 (1.00),←,
40,"Kennedy, Adam",21y 44d,33 (3-0-30 9.09%),,←,
39,"Mohr, Tim",24y 310d,34 (2-0-32 5.88%),1 (0.03),←,
9,"Scully, Tom",22y 102d,70 (16-1-53 23.57%),21 (0.30),39 (3-0-36 7.69%),15 (0.38)
5,"Shiel, Dylan",20y 169d,32 (2-0-30 6.25%),16 (0.50),←,
28,"Sumner, Liam",20y 9d,9 (1-0-8 11.11%),7 (0.78),←,
20,"Tomlinson, Adam",20y 15d,25 (1-0-24 4.00%),6 (0.24),←,
17,"Treloar, Adam",20y 169d,38 (3-0-35 7.89%),21 (0.55),←,
29,"Tyson, Dom",20y 78d,12 (1-0-11 8.33%),4 (0.33),←,
8,"Ward, Callan",23y 137d,101 (35-0-66 34.65%),52 (0.51),41 (3-0-38 7.32%),19 (0.46)
51,"Williams, Zac",18y 339d,11 (1-0-10 9.09%),2 (0.18),←,
16,"Wilson, Nathan",20y 230d,13 (0-0-13 0.00%),6 (0.46),←,
Totals,Totals,21y 243d,881 (201-2-678 22.81%),364 (0.41),,
C,"Sheedy, Kevin",65y 244d,677 (389-6-282 57.90%),,43 (3-0-40 6.98%),
