Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
16,"Brown, Nathan",19y 124d,5 (2-0-3 40.00%),2 (0.40),←,
18,"Clarke, Martin",20y 158d,15 (8-0-7 53.33%),4 (0.27),←,
32,"Cloke, Travis",21y 45d,60 (31-0-29 51.67%),61 (1.02),←,
1,"Davis, Leon",26y 307d,144 (68-0-76 47.22%),177 (1.23),←,
4,"Didak, Alan",25y 64d,125 (69-0-56 55.20%),178 (1.42),←,
25,"Fraser, Josh",26y 105d,161 (85-0-76 52.80%),137 (0.85),←,
38,"Goldsack, Tyson",20y 333d,20 (10-0-10 50.00%),,←,
6,"Holland, Brodie",28y 107d,155 (67-0-88 43.23%),141 (0.91),119 (59-0-60 49.58%),104 (0.87)
26,"Johnson, Ben",27y 14d,159 (83-0-76 52.20%),44 (0.28),←,
24,"Lockyer, Tarkyn",28y 172d,172 (81-0-91 47.09%),91 (0.53),←,
8,"Lumumba, Heritier",21y 156d,41 (23-0-18 56.10%),1 (0.02),←,
7,"Medhurst, Paul",26y 130d,121 (62-0-59 51.24%),201 (1.66),22 (12-0-10 54.55%),35 (1.59)
11,"OBree, Shane",29y 35d,197 (97-0-100 49.24%),75 (0.38),178 (88-0-90 49.44%),72 (0.40)
10,"Pendlebury, Scott",20y 103d,37 (20-0-17 54.05%),26 (0.70),←,
20,"Reid, Ben",18y 356d,4 (1-0-3 25.00%),2 (0.50),←,
23,"Rocca, Anthony",30y 248d,235 (114-0-121 48.51%),408 (1.74),213 (103-0-110 48.36%),397 (1.86)
39,"Shaw, Heath",22y 144d,58 (31-0-27 53.45%),12 (0.21),←,
22,"Shaw, Rhyce",26y 186d,79 (40-0-39 50.63%),16 (0.20),←,
36,"Swan, Dane",24y 54d,81 (41-0-40 50.62%),39 (0.48),←,
13,"Thomas, Dale",20y 303d,46 (26-0-20 56.52%),37 (0.80),←,
14,"Wakelin, Shane",33y 251d,237 (113-2-122 48.10%),20 (0.08),143 (72-0-71 50.35%),1 (0.01)
19,"Wood, Cameron",21y 46d,21 (5-0-16 23.81%),1 (0.05),5 (2-0-3 40.00%),1 (0.20)
Totals,Totals,24y 190d,2173 (1077-2-1094 49.56%),1673 (0.77),,
C,"Malthouse, Mick",54y 246d,569 (317-4-248 56.06%),,191 (94-0-97 49.21%),
