Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Brown, Mitch",12,10,8,20,,,,,1.0,3.0,,2.0,,1.0,,3.0,17.0,,,2.0,,,91.0
23,"Caddy, Josh",8,3,11,19,,,1.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,,7.0,11.0,,,,1.0,2.0,79.0
11,"Corey, Joel",8,3,8,16,,,1.0,5.0,,4.0,,3.0,1.0,1.0,,4.0,12.0,,,,,2.0,86.0
22,"Duncan, Mitch",16,12,11,27,,1.0,,2.0,2.0,2.0,2.0,3.0,1.0,1.0,,7.0,20.0,1.0,2.0,2.0,1.0,2.0,81.0
44,"Enright, Corey",15,10,7,22,,,,3.0,2.0,5.0,,2.0,,1.0,,6.0,15.0,1.0,,3.0,,1.0,84.0
29,"Guthrie, Cameron",6,3,6,12,,,,4.0,2.0,,1.0,,,,,3.0,9.0,,,1.0,,,89.0
26,"Hawkins, Tom",10,6,1,11,5,,1.0,,,3.0,1.0,1.0,3.0,,,9.0,3.0,3.0,3.0,1.0,,1.0,93.0
33,"Horlin-Smith, George",9,5,7,16,,,,,1.0,3.0,4.0,2.0,1.0,,,5.0,11.0,,,3.0,,,78.0
19,"Hunt, Taylor",1,2,15,16,,,,2.0,,,2.0,2.0,1.0,,,7.0,11.0,,,1.0,,,82.0
20,"Johnson, Steve",17,3,12,29,2,,,4.0,,4.0,6.0,3.0,,1.0,2.0,15.0,15.0,,1.0,4.0,,,89.0
9,"Kelly, James",10,3,11,21,1,2.0,,5.0,1.0,5.0,6.0,3.0,,1.0,,13.0,9.0,,,3.0,,,87.0
13,"Lonergan, Tom",3,2,1,4,,,,1.0,,,,2.0,1.0,1.0,,1.0,3.0,,,3.0,,,88.0
4,"Mackie, Andrew",18,7,6,24,1,,,1.0,1.0,4.0,,2.0,,,,5.0,20.0,,,,,,86.0
32,"Motlop, Steven",12,6,17,29,4,,,2.0,,3.0,,2.0,,,,7.0,21.0,1.0,2.0,,3.0,2.0,87.0
31,"Podsiadly, James",13,11,2,15,2,1.0,1.0,1.0,,4.0,,2.0,,1.0,1.0,6.0,10.0,3.0,5.0,1.0,,,92.0
14,"Selwood, Joel",17,6,15,32,3,1.0,,4.0,,5.0,4.0,2.0,2.0,,3.0,10.0,22.0,,1.0,1.0,,2.0,81.0
16 ↓,"Simpson, Dawson",,,1,1,,,10.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,23.0
2 ↑,"Smedts, Billie",8,5,7,15,,,,3.0,1.0,2.0,,1.0,,,,5.0,11.0,2.0,,1.0,,,58.0
27,"Stokes, Mathew",5,1,14,19,,,,4.0,,3.0,2.0,1.0,,1.0,,3.0,14.0,,,1.0,,1.0,86.0
7,"Taylor, Harry",12,6,7,19,,,,1.0,7.0,2.0,,,1.0,,,9.0,11.0,,,8.0,1.0,,90.0
5,"Varcoe, Travis",5,3,10,15,2,1.0,,8.0,,2.0,1.0,,,,,6.0,9.0,1.0,2.0,,,1.0,87.0
30,"Vardy, Nathan",11,7,5,16,1,,19.0,4.0,,5.0,2.0,1.0,1.0,,,6.0,10.0,1.0,1.0,4.0,,1.0,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,216,114,182,398,21,11.0,33.0,57.0,20.0,63.0,35.0,38.0,13.0,11.0,6.0,138.0,264.0,13.0,17.0,39.0,6.0,15.0,
Opposition,Opposition,162,58,176,338,5,6.0,43.0,54.0,38.0,25.0,36.0,48.0,11.0,13.0,,128.0,210.0,5.0,4.0,38.0,18.0,3.0,
