St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Battle, Josh",14,9,4,18,1,,,2.0,5.0,2.0,,2.0,,,,4.0,14.0,,1.0,1.0,,,85.0
15,"Billings, Jack",13,6,10,23,,,,1.0,2.0,4.0,1.0,1.0,,,,5.0,18.0,,,1.0,,2.0,91.0
16,"Butler, Dan",6,3,3,9,1,,,4.0,1.0,,,4.0,,1.0,,1.0,8.0,,1.0,,,,85.0
23,"Bytel, Jack",,,13,13,,,,1.0,,,3.0,1.0,,1.0,,5.0,8.0,,,,,,71.0
11,"Clark, Hunter",12,4,8,20,,,,4.0,4.0,,2.0,3.0,1.0,,,6.0,14.0,,,4.0,,,90.0
1,"Coffield, Nick",13,10,6,19,,,,1.0,6.0,,,2.0,,,,5.0,15.0,,,3.0,1.0,,86.0
14,"Geary, Jarryn",9,7,4,13,,,,1.0,2.0,,,2.0,1.0,,,1.0,12.0,,,1.0,,,90.0
8,"Hill, Bradley",14,6,3,17,,1.0,,2.0,,4.0,,4.0,,,1.0,3.0,14.0,,2.0,,3.0,,91.0
40,"Hind, Nick",7,4,,7,1,1.0,,2.0,,1.0,,1.0,,1.0,,2.0,6.0,,3.0,2.0,1.0,,82.0
20,"Howard, Dougal",4,3,4,8,,,,2.0,3.0,1.0,,1.0,,,,3.0,5.0,,,6.0,,,93.0
3,"Jones, Zak",15,4,11,26,,,,5.0,6.0,4.0,4.0,6.0,1.0,2.0,2.0,11.0,13.0,,,,3.0,1.0,80.0
12,"King, Max",5,6,2,7,3,1.0,,1.0,,1.0,,2.0,,2.0,,4.0,4.0,3.0,4.0,3.0,,,93.0
21,"Long, Ben",7,4,5,12,,,,,1.0,,3.0,3.0,2.0,2.0,,7.0,7.0,,,3.0,1.0,,82.0
13,"Lonie, Jack",8,4,2,10,1,1.0,,,,1.0,,1.0,2.0,,,5.0,5.0,,2.0,,,1.0,88.0
19,"Marshall, Rowan",11,8,5,16,,1.0,15.0,1.0,,3.0,,4.0,,1.0,3.0,8.0,8.0,3.0,1.0,1.0,,,88.0
28,"Membrey, Tim",8,5,2,10,2,,1.0,2.0,,3.0,,1.0,1.0,,,3.0,7.0,1.0,2.0,2.0,1.0,,87.0
33,"Paton, Ben",,,1,1,,,,,,,,,,,,,1.0,,,,,,10.0
6,"Ross, Sebastian",10,3,6,16,,,,1.0,4.0,2.0,2.0,1.0,,,,7.0,10.0,,,1.0,,1.0,73.0
18,"Ryder, Paddy",9,4,1,10,1,1.0,18.0,3.0,,4.0,3.0,1.0,1.0,,,5.0,5.0,1.0,2.0,5.0,,,78.0
35,"Sinclair, Jack",9,3,,9,,,,3.0,,2.0,,,1.0,,,2.0,6.0,,,1.0,,1.0,80.0
9,"Steele, Jack",9,1,12,21,,,,1.0,,5.0,6.0,,,,,13.0,7.0,,,1.0,1.0,,85.0
44,"Wilkie, Callum",8,3,5,13,,,,1.0,3.0,,,1.0,1.0,1.0,,6.0,6.0,,,4.0,,,95.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,191,97,107,298,10,8.0,34.0,38.0,37.0,37.0,24.0,41.0,11.0,11.0,6.0,106.0,193.0,8.0,18.0,39.0,11.0,6.0,
Opposition,Opposition,172,80,135,307,5,3.0,22.0,37.0,27.0,42.0,30.0,46.0,11.0,11.0,,89.0,210.0,3.0,9.0,40.0,7.0,5.0,
