Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Atkins, Rory",10,3,6,16,,1.0,,4.0,,1.0,1.0,4.0,1.0,1.0,,6,10,,,,,,83.0
18,"Betts, Eddie",7,1,3,10,2.0,,,4.0,,4.0,,1.0,,,,4,6,,,3.0,1.0,1.0,81.0
16,"Brown, Luke",9,5,2,11,,,,2.0,2.0,,,,1.0,,,4,6,,,2.0,,,88.0
5,"Crouch, Matt",16,3,16,32,,,,4.0,2.0,3.0,5.0,2.0,1.0,,,11,22,,,,,1.0,79.0
39,"Doedee, Tom",5,2,8,13,,,,2.0,2.0,3.0,,,2.0,,,5,8,,,4.0,,2.0,89.0
26,"Douglas, Richard",15,7,13,28,2.0,1.0,,2.0,,5.0,8.0,1.0,2.0,,3.0,13,16,,2.0,1.0,,1.0,83.0
28,"Ellis-Yolmen, Cam",9,4,16,25,,,,6.0,,3.0,6.0,4.0,,2.0,,11,15,,,1.0,,,80.0
32,"Fogarty, Darcy",8,6,3,11,,1.0,,4.0,,4.0,,2.0,1.0,1.0,,4,8,1.0,2.0,1.0,1.0,2.0,80.0
7,"Gallucci, Jordan",7,2,5,12,,,,3.0,,4.0,,2.0,,,,4,9,,,1.0,,1.0,86.0
6,"Gibbs, Bryce",12,4,9,21,1.0,,,7.0,,3.0,1.0,2.0,,,,4,17,,1.0,,,,80.0
1,"Greenwood, Hugh",9,3,10,19,2.0,1.0,,8.0,,3.0,6.0,1.0,1.0,,,14,6,1.0,,1.0,,1.0,80.0
24,"Jacobs, Sam",11,5,5,16,,1.0,32.0,3.0,,5.0,4.0,5.0,2.0,,,6,10,,1.0,2.0,,2.0,84.0
4,"Jenkins, Josh",7,7,3,10,3.0,2.0,6.0,2.0,,1.0,1.0,1.0,,,,4,6,2.0,5.0,,,1.0,91.0
8,"Kelly, Jake",9,5,12,21,,,,1.0,4.0,1.0,,1.0,1.0,1.0,,5,16,,,3.0,,,85.0
29,"Laird, Rory",14,6,18,32,1.0,,,1.0,6.0,2.0,,5.0,,2.0,1.0,11,22,,,2.0,,,85.0
27,"Lynch, Tom",11,5,7,18,2.0,,,,1.0,2.0,,3.0,2.0,1.0,,7,12,1.0,1.0,1.0,,,87.0
14,"Mackay, David",13,4,6,19,1.0,,,2.0,3.0,3.0,1.0,1.0,2.0,,,4,14,,,1.0,2.0,,82.0
41,"McGovern, Mitch",13,9,3,16,5.0,3.0,,2.0,,2.0,,3.0,1.0,,2.0,5,11,3.0,5.0,2.0,,,79.0
30,"Milera, Wayne",3,2,4,7,,,,,,,,2.0,,1.0,,2,7,,,,,,41.0
22,"Otten, Andy",4,4,7,11,,,,,3.0,,,1.0,,,,3,7,1.0,,7.0,,,86.0
11,"Seedsman, Paul",16,4,7,23,,1.0,,2.0,2.0,4.0,3.0,,,,,6,18,1.0,,,1.0,1.0,80.0
12,"Talia, Daniel",8,4,7,15,,,,1.0,2.0,1.0,,2.0,1.0,1.0,,8,7,,,4.0,,,90.0
Totals,Totals,216,95,170,386,19.0,11.0,38.0,60.0,27.0,54.0,36.0,43.0,18.0,10.0,6.0,141,253,10.0,17.0,36.0,5.0,13.0,
Opposition,Opposition,220,107,112,332,10.0,10.0,41.0,66.0,33.0,37.0,36.0,58.0,11.0,18.0,,119,198,11.0,9.0,49.0,5.0,6.0,
