Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Alessio, Steven",5,3,4,9,2,,2.0,2.0,,,,,1.0,1.0,,,,,,,,,
8,"Bewick, Darren",14,6,6,20,3,1.0,,2.0,,,,,2.0,1.0,,,,,,,,,
48,"Calthorpe, David",8,1,6,14,1,2.0,,1.0,,,,,1.0,3.0,,,,,,,,,
38,"Denham, Sean",12,2,6,18,1,,,4.0,,,,,1.0,,,,,,,,,,
29,"Grenvold, David",8,,7,15,,,,2.0,,,,,1.0,2.0,,,,,,,,,
1,"Harvey, Mark",19,7,3,22,,,,,,,,,,1.0,,,,,,,,,
9,"Kickett, Derek",11,7,5,16,2,2.0,,2.0,,,,,2.0,1.0,,,,,,,,,
13,"Long, Michael",11,4,12,23,2,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,
37,"Manton, Glenn",3,1,3,6,,,,1.0,,,,,,,,,,,,,,,
2,"Mercuri, Mark",15,6,14,29,1,1.0,,2.0,,,,,3.0,2.0,,,,,,,,,
24,"Misiti, Joe",5,1,11,16,,1.0,,,,,,,,1.0,,,,,,,,,
10,"ODonnell, Gary",17,2,9,26,,,,1.0,,,,,2.0,2.0,,,,,,,,,
47,"Olarenshaw, Ricky",16,7,9,25,,,,,,,,,1.0,,,,,,,,,,
3,"Salmon, Paul",5,3,11,16,1,,18.0,,,,,,2.0,,,,,,,,,,
19,"Somerville, Peter",5,1,2,7,,,5.0,,,,,,,1.0,,,,,,,,,
12,"Symons, Michael",6,3,2,8,3,1.0,,4.0,,,,,2.0,1.0,,,,,,,,,
26,"Thompson, Mark",13,3,10,23,1,,,1.0,,,,,,3.0,,,,,,,,,
21,"Wallis, Dean",4,,3,7,,,,1.0,,,,,2.0,1.0,,,,,,,,,
4,"Wanganeen, Gavin",7,1,8,15,,,,1.0,,,,,3.0,1.0,2.0,,,,,,,,
32,"Watson, Tim",8,1,7,15,1,,,,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,59,138,330,18,9.0,25.0,25.0,,,,,24.0,22.0,3.0,,,,,,,,
Opposition,Opposition,195,71,102,297,13,18.0,15.0,37.0,,,,,22.0,24.0,3.0,,,,,,,,
