Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",21y 203d,39 (16-1-22 42.31%),24 (0.62),←,
18,"Cameron, Leon",17y 315d,14 (9-0-5 64.29%),6 (0.43),←,
3,"Campbell, Adrian",21y 191d,23 (10-1-12 45.65%),27 (1.17),←,
17,"Charles, Justin",19y 289d,7 (4-0-3 57.14%),,←,
20,"Coleman, Glenn",29y 161d,138 (76-1-61 55.43%),80 (0.58),13 (8-0-5 61.54%),16 (1.23)
4,"Davies, Darren",24y 273d,33 (15-0-18 45.45%),29 (0.88),←,
26,"Del-Re, Danny",22y 152d,8 (5-0-3 62.50%),13 (1.63),←,
12,"Eppelstun, Greg",23y 240d,74 (37-1-36 50.68%),1 (0.01),←,
32,"Foster, Peter",30y 42d,121 (65-2-54 54.55%),50 (0.41),114 (62-2-50 55.26%),48 (0.42)
29,"Grant, Chris",17y 213d,15 (9-0-6 60.00%),44 (2.93),←,
43,"Hogg, Matthew",21y 205d,48 (20-1-27 42.71%),4 (0.08),←,
10,"Hunter, Mark",24y 314d,32 (13-1-18 42.19%),2 (0.06),←,
21,"Kolyniuk, Steven",20y 9d,25 (13-1-11 54.00%),22 (0.88),←,
39,"Liberatore, Tony",24y 153d,33 (20-0-13 60.61%),20 (0.61),←,
11,"McGuinness, Tony",26y 69d,102 (47-2-53 47.06%),100 (0.98),←,
14,"Reynolds, Keenan",21y 188d,11 (8-0-3 72.73%),1 (0.09),←,
33,"Royal, Brian",28y 214d,152 (80-2-70 53.29%),190 (1.25),←,
16,"Wallace, Terry",31y 213d,243 (144-2-97 59.67%),119 (0.49),58 (26-1-31 45.69%),16 (0.28)
24,"Wallis, Stephen",25y 260d,160 (82-2-76 51.88%),40 (0.25),←,
28,"Williams, Mark",26y 118d,33 (19-1-13 59.09%),23 (0.70),14 (5-1-8 39.29%),13 (0.93)
Totals,Totals,23y 355d,1311 (692-18-601 52.78%),795 (0.61),,
C,"Wheeler, Terry",35y 123d,15 (9-0-6 60.00%),,←,
