Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
21,"Bell, Daniel",7,2,9,16,,,,4.0,8.0,1.0,1.0,3.0,2.0,1.0,,8.0,9.0,,,10.0,,,94.0
43,"Bode, Jace",2,2,3,5,,,,4.0,2.0,,1.0,,1.0,,,4.0,2.0,,,1.0,2.0,,87.0
25,"Brown, Nathan",15,9,7,22,,1.0,,2.0,3.0,2.0,1.0,,1.0,,,4.0,18.0,,1.0,6.0,1.0,2.0,77.0
41,"Carroll, Nathan",7,5,7,14,,,1.0,4.0,4.0,1.0,1.0,4.0,,,,6.0,7.0,2.0,,3.0,,,100.0
36,"Davey, Aaron",14,5,,14,3,2.0,,3.0,3.0,3.0,1.0,1.0,6.0,,,8.0,6.0,,,2.0,,2.0,89.0
14,"Dunn, Lynden",8,,4,12,2,,1.0,5.0,,7.0,5.0,2.0,2.0,2.0,,6.0,6.0,,,1.0,,,87.0
35,"Ferguson, Ryan",4,3,5,9,,1.0,,1.0,1.0,,,1.0,,1.0,,5.0,4.0,,,3.0,1.0,,100.0
8,"Frawley, James",1,1,2,3,,,,2.0,,,,,,,,2.0,1.0,,1.0,5.0,,,82.0
18,"Green, Brad",13,7,10,23,1,1.0,,5.0,3.0,3.0,2.0,2.0,1.0,,1.0,7.0,17.0,2.0,1.0,3.0,3.0,,93.0
4,"Holland, Ben",12,12,3,15,4,1.0,3.0,,,1.0,,1.0,,1.0,2.0,7.0,8.0,5.0,7.0,1.0,,,100.0
40,"Jamar, Mark",5,6,3,8,,1.0,15.0,1.0,1.0,,1.0,2.0,,1.0,,1.0,7.0,,2.0,2.0,,1.0,48.0
16,"Johnstone, Travis",21,5,4,25,,,,1.0,,7.0,3.0,2.0,,,,8.0,14.0,,1.0,,5.0,1.0,68.0
2,"Jones, Nathan",12,2,9,21,1,,,3.0,3.0,4.0,2.0,5.0,1.0,3.0,3.0,10.0,12.0,1.0,,1.0,1.0,,82.0
23,"McDonald, James",12,7,8,20,,,,6.0,1.0,3.0,4.0,2.0,,,,8.0,12.0,,,,1.0,,66.0
22,"Moloney, Brent",4,1,7,11,,,,3.0,,,2.0,3.0,,,,3.0,7.0,,,1.0,,,57.0
9,"Neitz, David",9,5,1,10,,2.0,,,,2.0,,4.0,1.0,2.0,,6.0,5.0,1.0,2.0,1.0,,,100.0
29,"Newton, Michael",6,3,4,10,1,,,3.0,,2.0,,2.0,3.0,2.0,,5.0,6.0,,1.0,3.0,,,82.0
33,"Pickett, Byron",8,2,4,12,2,,,4.0,,5.0,3.0,1.0,1.0,1.0,,3.0,8.0,,1.0,1.0,,,82.0
24,"Robertson, Russell",15,10,4,19,3,,1.0,2.0,1.0,8.0,4.0,,,,,9.0,10.0,3.0,2.0,5.0,1.0,,86.0
12,"Sylvia, Colin",6,1,5,11,1,,,6.0,,3.0,3.0,2.0,3.0,,,6.0,3.0,,,1.0,,,65.0
31,"Wheatley, Paul",11,5,5,16,1,,1.0,3.0,5.0,1.0,,4.0,,1.0,,5.0,13.0,,,3.0,3.0,1.0,96.0
34,"White, Jeff",9,4,11,20,,,20.0,2.0,2.0,3.0,4.0,2.0,3.0,,,7.0,14.0,,1.0,,2.0,1.0,58.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,97,115,316,19,15.0,42.0,64.0,37.0,56.0,38.0,43.0,25.0,15.0,6.0,128.0,189.0,14.0,20.0,53.0,20.0,8.0,
Opposition,Opposition,180,84,190,370,12,15.0,28.0,51.0,35.0,54.0,33.0,49.0,15.0,25.0,,122.0,255.0,6.0,17.0,54.0,21.0,7.0,
