Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
13,"Ah Chee, Callum",18y 310d,14 (5-0-9 35.71%),9 (0.64),←,
31,"Brooksby, Keegan",26y 109d,9 (1-0-8 11.11%),3 (0.33),←,
39,"Davis, Ryan",27y 68d,31 (9-0-22 29.03%),17 (0.55),17 (6-0-11 35.29%),13 (0.76)
12,"Day, Sam",23y 343d,96 (29-1-66 30.73%),63 (0.66),←,
41,"Garlett, Jarrod",20y 103d,16 (4-0-12 25.00%),10 (0.63),←,
2,"Grant, Jarrad",27y 39d,92 (43-0-49 46.74%),94 (1.02),11 (1-0-10 9.09%),11 (1.00)
33,"Hall, Aaron",25y 279d,76 (27-1-48 36.18%),63 (0.83),←,
14,"Hallahan, Mitch",23y 357d,22 (4-0-18 18.18%),6 (0.27),16 (1-0-15 6.25%),4 (0.25)
5,"Harbrow, Jarrod",28y 27d,183 (72-2-109 39.89%),51 (0.28),113 (32-1-80 28.76%),30 (0.27)
38,"Joyce, Jesse",18y 363d,10 (3-0-7 30.00%),,←,
28,"Kolodjashnij, Kade",21y 5d,57 (16-1-40 28.95%),10 (0.18),←,
19,"Lynch, Tom",23y 288d,100 (28-1-71 28.50%),187 (1.87),←,
4,"Martin, Jack",21y 198d,42 (13-1-28 32.14%),34 (0.81),←,
32,"Matera, Brandon",24y 156d,89 (26-1-62 29.78%),101 (1.13),←,
17,"May, Steven",24y 217d,86 (28-1-57 33.14%),17 (0.20),←,
11,"Miller, Touk",20y 174d,38 (8-1-29 22.37%),11 (0.29),←,
3,"Rosa, Matt",29y 265d,181 (90-1-90 50.00%),42 (0.23),13 (3-0-10 23.08%),3 (0.23)
42,"Saad, Adam",22y 22d,24 (7-1-16 31.25%),1 (0.04),←,
36,"Schoenfeld, Josh",19y 42d,4 (1-0-3 25.00%),,←,
26,"Shaw, Matt",24y 191d,98 (26-1-71 27.04%),32 (0.33),←,
16,"Thompson, Rory",25y 155d,77 (24-1-52 31.82%),7 (0.09),←,
30,"Wright, Peter",19y 341d,18 (3-0-15 16.67%),27 (1.50),←,
Totals,Totals,23y 184d,1363 (467-14-882 34.26%),785 (0.58),,
C,"Eade, Rodney",58y 132d,356 (179-5-172 50.98%),,42 (10-1-31 25.00%),
