Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Akermanis, Jason",2,1,3,5,,,,,,,,,1.0,,,,,,,,,,
10,"Ashcroft, Marcus",15,7,6,21,2,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
25,"Bews, Andrew",12,1,6,18,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
1,"Champion, Richard",13,8,3,16,1,,,1.0,,,,,,,,,,,,,,,
5,"Chapman, Nathan",3,2,3,6,,1.0,,,,,,,,2.0,,,,,,,,,
16,"Clarke, Matthew",7,3,6,13,,,19.0,,,,,,1.0,5.0,2.0,,,,,,,,
6,"Fletcher, Adrian",14,6,6,20,,1.0,,4.0,,,,,2.0,,,,,,,,,,
8,"Gowers, Andrew",5,2,3,8,,,,1.0,,,,,,1.0,,,,,,,,,
32,"Hart, Shaun",14,4,10,24,2,1.0,,,,,,,1.0,1.0,,,,,,,,,
18,"Lambert, Craig",13,2,13,26,,,,2.0,,,,,1.0,,,,,,,,,,
44,"Lappin, Nigel",20,6,11,31,1,,,1.0,,,,,1.0,1.0,3.0,,,,,,,,
23,"Leppitsch, Justin",5,3,2,7,,2.0,,1.0,,,,,1.0,,,,,,,,,,
2,"McAdam, Gilbert",10,6,6,16,,,,1.0,,,,,,2.0,,,,,,,,,
7,"McIvor, Scott",8,4,6,14,,,,2.0,,,,,,,,,,,,,,,
19,"McLean, Michael",5,1,2,7,,,,1.0,,,,,,,,,,,,,,,
4,"McRae, Craig",11,6,3,14,2,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,
24,"Merrett, Roger",13,3,1,14,2,2.0,2.0,2.0,,,,,2.0,,,,,,,,,,
22,"Scott, Chris",12,6,6,18,,,,2.0,,,,,,2.0,,,,,,,,,
38,"Scott, Dion",10,4,8,18,2,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,
3,"Voss, Michael",15,4,10,25,2,1.0,,2.0,,,,,,1.0,,,,,,,,,
33,"White, Darryl",11,6,10,21,2,2.0,,3.0,,,,,3.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,218,85,124,342,17,14.0,22.0,27.0,,,,,19.0,20.0,5.0,,,,,,,,
Opposition,Opposition,208,91,104,312,12,12.0,15.0,20.0,,,,,20.0,19.0,1.0,,,,,,,,
