Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Baldwin, Jason",4,1.0,1,5,,,,,,,,,,1.0,,,,,,,,,
54,"Bizzotto, Frank",4,,2,6,,,,,,,,,1.0,1.0,,,,,,,,,
17,"Broderick, Paul",10,2.0,12,22,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
16,"Cormack, Joe",13,3.0,5,18,1.0,,,1.0,,,,,1.0,,,,,,,,,,
15,"Donato, David",7,1.0,4,11,1.0,,,1.0,,,,,1.0,,,,,,,,,,
2,"Dundas, Matthew",7,1.0,2,9,,,,,,,,,,,,,,,,,,,
6,"Ironmonger, John",10,6.0,10,20,,,31.0,,,,,,2.0,,,,,,,,,,
43,"Johnston, Andrew",2,1.0,3,5,,1.0,,,,,,,,,,,,,,,,,
21,"Kappler, Darren",14,2.0,2,16,2.0,1.0,,,,,,,,1.0,,,,,,,,,
11,"Lynch, Alastair",8,5.0,3,11,,,,2.0,,,,,2.0,2.0,,,,,,,,,
29,"Lyon, Ross",12,4.0,7,19,,2.0,,1.0,,,,,5.0,2.0,,,,,,,,,
5,"McCormack, Brendan",12,4.0,6,18,1.0,1.0,,4.0,,,,,2.0,1.0,,,,,,,,,
26,"McGrath, Justin",9,2.0,2,11,,,,2.0,,,,,2.0,1.0,,,,,,,,,
25,"OConnell, David",7,4.0,2,9,3.0,,11.0,,,,,,2.0,1.0,,,,,,,,,
44,"Osborne, Richard",14,3.0,2,16,1.0,,,2.0,,,,,2.0,1.0,,,,,,,,,
28,"Paxman, Stephen",6,1.0,3,9,,,,1.0,,,,,,1.0,,,,,,,,,
1,"Roos, Paul",15,5.0,7,22,1.0,,,,,,,,,2.0,,,,,,,,,
20,"Rowe, Duane",13,2.0,1,14,,,,1.0,,,,,,,,,,,,,,,
33,"Stephens, Brett",10,6.0,3,13,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,
8,"Wynd, Jim",18,5.0,8,26,3.0,,,1.0,,,,,6.0,2.0,2.0,,,,,,,,
Totals,Totals,195,58.0,85,280,15.0,8.0,42.0,16.0,,,,,28.0,19.0,2.0,,,,,,,,
Opposition,Opposition,187,64.0,97,284,17.0,9.0,16.0,26.0,,,,,19.0,28.0,4.0,,,,,,,,
