North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
18,"Atley, Shaun",28y 189d,215 (103-0-112 47.91%),44 (0.20),←,
16,"Bonar, Aiden",22y 13d,13 (4-0-9 30.77%),5 (0.38),7 (1-0-6 14.29%),
4,"Corr, Aidan",26y 308d,99 (47-3-49 48.99%),2 (0.02),1 (0-0-1 0.00%),
9,"Davies-Uniacke, Luke",21y 286d,31 (10-0-21 32.26%),8 (0.26),←,
22,"Goldstein, Todd",32y 263d,252 (122-1-129 48.61%),126 (0.50),←,
20,"Larkey, Nick",22y 288d,30 (11-0-19 36.67%),40 (1.33),←,
35,"Lazzaro, Charlie",18y 361d,1 (0-0-1 0.00%),,←,
1,"Mahony, Jack",19y 129d,11 (1-0-10 9.09%),4 (0.36),←,
23,"McKay, Ben",23y 87d,16 (2-0-14 12.50%),,←,
31,"Menadue, Connor",24y 183d,40 (23-0-17 57.50%),11 (0.28),1 (0-0-1 0.00%),
13,"Polec, Jared",28y 160d,142 (71-0-71 50.00%),74 (0.52),36 (12-0-24 33.33%),19 (0.53)
24,"Powell, Tom",19y 19d,1 (0-0-1 0.00%),1 (1.00),←,
8,"Scott, Bailey",20y 255d,18 (2-0-16 11.11%),13 (0.72),←,
12,"Simpkin, Jy",23y 16d,74 (28-0-46 37.84%),33 (0.45),←,
2,"Stephenson, Jaidyn",22y 65d,55 (34-0-21 61.82%),76 (1.38),1 (0-0-1 0.00%),
5,"Taylor, Curtis",20y 349d,12 (3-0-9 25.00%),5 (0.42),←,
26,"Thomas, Tarryn",20y 361d,27 (12-0-15 44.44%),21 (0.78),←,
28,"Turner, Kayne",25y 80d,80 (41-0-39 51.25%),53 (0.66),←,
21,"Tyson, Dom",27y 286d,111 (40-0-71 36.04%),45 (0.41),4 (0-0-4 0.00%),1 (0.25)
19,"Walker, Josh",28y 129d,103 (40-1-62 39.32%),73 (0.71),18 (3-0-15 16.67%),4 (0.22)
17,"Young, Lachie",21y 349d,9 (4-0-5 44.44%),1 (0.11),1 (0-0-1 0.00%),
7,"Ziebell, Jack",30y 21d,219 (104-0-115 47.49%),163 (0.74),←,
44,"Zurhaar, Cameron",22y 303d,45 (16-0-29 35.56%),48 (1.07),←,
Totals,Totals,24y 5d,1604 (718-5-881 44.76%),846 (0.53),,
C,"Noble, David",53y 310d,1 (0-0-1 0.00%),,←,
