Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",17,3,16,33,1,,,1.0,,,,,1.0,,,,,,,,,,
50,"Ballantyne, Jon",17,10,2,19,3,5.0,,1.0,,,,,3.0,3.0,,,,,,,,,
19,"Beveridge, Luke",20,3,6,26,3,,,2.0,,,,,4.0,1.0,3.0,,,,,,,,
18,"Cameron, Leon",14,7,7,21,,,,1.0,,,,,,,,,,,,,,,
6,"Campbell, Tony",8,4,1,9,,,,,,,,,1.0,,,,,,,,,,
1,"Charles, Justin",5,4,,5,1,1.0,4.0,1.0,,,,,1.0,,,,,,,,,,
11,"Corcoran, Shannon",3,1,3,6,,,,1.0,,,,,,1.0,,,,,,,,,
32,"Foster, Peter",7,7,7,14,,,,,,,,,,,,,,,,,,,
29,"Grant, Chris",16,7,3,19,,,1.0,2.0,,,,,3.0,4.0,,,,,,,,,
7,"Hawkins, Doug",12,8,14,26,,,,3.0,,,,,2.0,1.0,,,,,,,,,
10,"Hunter, Mark",14,5,4,18,,,,2.0,,,,,,,,,,,,,,,
21,"Kolyniuk, Steven",20,4,7,27,,1.0,,,,,,,2.0,3.0,1.0,,,,,,,,
39,"Liberatore, Tony",9,,5,14,,,,10.0,,,,,1.0,1.0,,,,,,,,,
22,"Quill, Peter",8,4,3,11,1,,,,,,,,1.0,1.0,,,,,,,,,
2,"Reynolds, Keenan",10,9,6,16,1,1.0,,1.0,,,,,,,,,,,,,,,
33,"Royal, Brian",10,4,3,13,5,1.0,,,,,,,1.0,2.0,,,,,,,,,
5,"Smith, Rohan",13,6,2,15,1,3.0,,,,,,,,1.0,,,,,,,,,
17,"Standfield, Barry",13,7,1,14,1,5.0,1.0,4.0,,,,,1.0,1.0,,,,,,,,,
8,"Toohey, Bernard",3,1,3,6,,,,1.0,,,,,,2.0,,,,,,,,,
15,"Wynd, Scott",7,8,11,18,,,18.0,3.0,,,,,4.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,226,102,104,330,17,19.0,24.0,33.0,,,,,25.0,22.0,4.0,,,,,,,,
Opposition,Opposition,176,65,98,274,14,9.0,10.0,14.0,,,,,22.0,25.0,2.0,,,,,,,,
