Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Bond, Chris",5,1,1,6,,1.0,,2.0,,,,,,,,,,,,,,,
22,"Bower, Nathan",11,6,2,13,,,,3.0,,,,,1.0,,,,,,,,,,
17,"Broderick, Paul",16,5,6,22,,1.0,,1.0,,,,,,,2.0,,,,,,,,
21,"Bulluss, Paul",5,4,9,14,,,1.0,,,,,,1.0,,,,,,,,,,
9,"Campbell, Wayne",23,5,5,28,1,1.0,,3.0,,,,,1.0,3.0,3.0,,,,,,,,
15,"Charles, Justin",6,1,5,11,,2.0,3.0,2.0,,,,,2.0,2.0,,,,,,,,,
10,"Daffy, Nick",11,1,3,14,3,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
14,"Dear, Greg",7,5,2,9,,1.0,7.0,4.0,,,,,,1.0,,,,,,,,,
25,"Gale, Brendon",8,5,7,15,1,2.0,3.0,1.0,,,,,1.0,1.0,,,,,,,,,
23,"Jurica, Stephen",8,5,1,9,4,4.0,,2.0,,,,,1.0,2.0,,,,,,,,,
3,"Kellaway, Duncan",9,3,5,14,,,,2.0,,,,,2.0,2.0,,,,,,,,,
33,"Knights, Matthew",11,5,12,23,,,,4.0,,,,,1.0,1.0,1.0,,,,,,,,
27,"Maxfield, Stuart",12,3,3,15,3,,,2.0,,,,,1.0,,,,,,,,,,
28,"Merenda, Mark",4,2,,4,1,1.0,,2.0,,,,,,1.0,,,,,,,,,
6,"Naish, Chris",8,2,5,13,,2.0,,1.0,,,,,,,,,,,,,,,
19,"Neeld, Mark",1,1,,1,,,,,,,,,,,,,,,,,,,
7,"Prescott, Ashley",10,2,2,12,,,,2.0,,,,,3.0,1.0,,,,,,,,,
4,"Rogers, Matthew",14,3,7,21,1,2.0,,3.0,,,,,2.0,1.0,,,,,,,,,
43,"Slater, Adam",,,,,,,,,,,,,,1.0,,,,,,,,,
5,"Tape, Jamie",8,4,7,15,,,,2.0,,,,,,1.0,,,,,,,,,
41,"Turner, Scott",14,4,3,17,,,,1.0,,,,,3.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,191,67,85,276,14,25.0,14.0,38.0,,,,,20.0,18.0,6.0,,,,,,,,
Opposition,Opposition,173,66,92,265,7,13.0,22.0,19.0,,,,,18.0,20.0,,,,,,,,,
