Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
19,"Armstrong, Tony",23y 266d,29 (16-0-13 55.17%),2 (0.07),15 (10-0-5 66.67%),2 (0.13)
14,"Bird, Craig",24y 152d,97 (57-2-38 59.79%),41 (0.42),←,
24,"Bolton, Jude",33y 99d,313 (176-5-132 57.03%),184 (0.59),←,
37,"Goodes, Adam",33y 165d,331 (185-5-141 56.65%),409 (1.24),←,
39,"Grundy, Heath",27y 20d,126 (74-2-50 59.52%),21 (0.17),←,
4,"Hannebery, Dan",22y 118d,89 (55-2-32 62.92%),39 (0.44),←,
15,"Jack, Kieren",25y 359d,126 (71-3-52 57.54%),89 (0.71),←,
12,"Kennedy, Josh",25y 2d,98 (59-2-37 61.22%),62 (0.63),85 (54-2-29 64.71%),58 (0.68)
11,"Lamb, Jed",20y 246d,4 (2-0-2 50.00%),1 (0.25),←,
9,"Malceski, Nick",28y 311d,138 (89-2-47 65.22%),58 (0.42),←,
21,"McGlynn, Ben",27y 320d,116 (68-2-46 59.48%),131 (1.13),72 (45-2-25 63.89%),103 (1.43)
3,"McVeigh, Jarrad",28y 76d,206 (122-4-80 60.19%),153 (0.74),←,
6,"Mitchell, Tom",20y 22d,3 (2-0-1 66.67%),3 (1.00),←,
10,"Morton, Mitch",26y 145d,82 (31-4-47 40.24%),115 (1.40),11 (7-1-3 68.18%),10 (0.91)
5,"OKeefe, Ryan",32y 149d,269 (155-4-110 58.36%),255 (0.95),←,
26,"Parker, Luke",20y 240d,44 (28-1-15 64.77%),23 (0.52),←,
38,"Pyke, Mike",29y 90d,58 (35-1-22 61.21%),25 (0.43),←,
43,"Rampe, Dane",23y 20d,10 (6-1-3 65.00%),,←,
25,"Richards, Ted",30y 162d,193 (113-4-76 59.59%),32 (0.17),160 (94-4-62 60.00%),13 (0.08)
40,"Smith, Nick",25y 10d,86 (50-2-34 59.30%),8 (0.09),←,
8,"Tippett, Kurt",26y 45d,105 (53-0-52 50.48%),190 (1.81),1 (0-0-1 0.00%),2 (2.00)
18,"White, Jesse",25y 164d,59 (28-2-29 49.15%),57 (0.97),←,
Totals,Totals,26y 128d,2582 (1475-48-1059 57.13%),1898 (0.74),,
C,"Longmire, John",42y 173d,61 (40-2-19 67.21%),,←,
