Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",7,3,4,11,2,1.0,,1.0,3.0,,1.0,1.0,1.0,,,6.0,5.0,,2.0,2.0,,,100.0
27,"Baird, John",9,5,6,15,,,,4.0,3.0,,,,2.0,,,8.0,7.0,3.0,,7.0,,,100.0
16,"Brown, Leigh",4,2,3,7,1,1.0,,,,1.0,,4.0,1.0,4.0,,4.0,3.0,,,1.0,,1.0,78.0
22,"Burton, Matthew",7,2,4,11,1,,16.0,,1.0,3.0,,2.0,,1.0,,4.0,7.0,,1.0,1.0,,1.0,64.0
2,"Colbert, Leigh",6,6,10,16,,,1.0,,4.0,,,1.0,,,,4.0,12.0,,,5.0,,,100.0
6,"Grant, Shannon",10,4,6,16,1,,,2.0,2.0,2.0,3.0,,,,,6.0,9.0,,,1.0,2.0,,94.0
39,"Harding, Leigh",4,3,,4,2,,,1.0,,2.0,,,,,,2.0,3.0,1.0,1.0,1.0,4.0,,67.0
29,"Harvey, Brent",17,6,4,21,,,,3.0,4.0,9.0,2.0,3.0,1.0,,,7.0,12.0,1.0,,5.0,4.0,,100.0
21,"Jones, Corey",9,4,3,12,1,3.0,,1.0,,4.0,1.0,1.0,1.0,,,5.0,7.0,,3.0,4.0,,3.0,81.0
34,"King, David",7,2,1,8,1,,,3.0,,6.0,3.0,1.0,,1.0,,2.0,5.0,,,1.0,,,83.0
35,"Makepeace, Troy",10,5,6,16,,,,5.0,1.0,1.0,3.0,2.0,,1.0,,9.0,7.0,1.0,,5.0,5.0,,91.0
32,"Morrell, Digby",7,4,1,8,,2.0,1.0,2.0,,3.0,1.0,3.0,2.0,1.0,,4.0,4.0,1.0,1.0,3.0,,,77.0
19,"Motlop, Daniel",2,1,,2,,,1.0,4.0,,1.0,,1.0,,1.0,,,2.0,,,,1.0,,53.0
20,"Petrie, Drew",9,5,3,12,4,1.0,,5.0,1.0,2.0,,,,,1.0,7.0,5.0,3.0,2.0,5.0,,1.0,93.0
17,"Porter, Mark",3,,2,5,1,,16.0,2.0,,1.0,2.0,1.0,1.0,1.0,,4.0,1.0,,,1.0,,,36.0
3,"Rawlings, Brady",12,8,9,21,1,,,1.0,4.0,1.0,3.0,,1.0,,,7.0,15.0,,,1.0,4.0,,96.0
30,"Robbins, Ben",1,,5,6,,,,3.0,,1.0,1.0,,,,,5.0,1.0,,,2.0,,,46.0
7,"Simpson, Adam",10,7,11,21,2,,2.0,,1.0,4.0,2.0,6.0,1.0,2.0,2.0,10.0,9.0,2.0,1.0,3.0,,1.0,96.0
9,"Sinclair, Jess",15,4,5,20,,,,2.0,6.0,1.0,,,,,,3.0,16.0,1.0,,3.0,3.0,,100.0
10,"Stevens, Anthony",16,2,10,26,1,,,2.0,4.0,4.0,6.0,4.0,,2.0,3.0,13.0,13.0,,,4.0,4.0,1.0,88.0
40,"Teague, David",7,4,6,13,,,,,2.0,1.0,2.0,1.0,1.0,,,6.0,7.0,1.0,,4.0,,,59.0
36,"Watt, Shannon",8,2,5,13,,,,,4.0,1.0,,,,,,4.0,8.0,1.0,,5.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,180,79,104,284,18,9.0,37.0,41.0,40.0,48.0,30.0,31.0,12.0,14.0,6.0,120.0,158.0,15.0,11.0,64.0,27.0,8.0,
Opposition,Opposition,191,77,101,292,13,11.0,41.0,39.0,28.0,55.0,48.0,35.0,14.0,12.0,,135.0,161.0,7.0,18.0,60.0,4.0,10.0,
