Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
39,"Abbott, Paul",4,1,2,6,,,8.0,1.0,,,,,,,,,,,,,,,
14,"Armstrong, Matt",17,2,8,25,1,,,3.0,,,,,4.0,2.0,,,,,,,,,
32,"Baldwin, Jason",12,,3,15,,,,4.0,,,,,1.0,1.0,,,,,,,,,
18,"Blakey, John",13,5,10,23,,2.0,,2.0,,,,,,1.0,,,,,,,,,
17,"Broderick, Paul",9,1,8,17,,,,4.0,,,,,1.0,1.0,,,,,,,,,
22,"Caven, Peter",11,2,1,12,,2.0,1.0,2.0,,,,,1.0,,,,,,,,,,
16,"Cormack, Joe",9,,5,14,,2.0,1.0,1.0,,,,,3.0,,,,,,,,,,
2,"Dundas, Matthew",11,2,4,15,1,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
27,"Fleming, Dale",8,3,7,15,1,1.0,,3.0,,,,,2.0,,,,,,,,,,
6,"Guard, Jeremy",8,4,6,14,,,,5.0,,,,,1.0,1.0,,,,,,,,,
26,"Johnston, David",13,5,11,24,1,2.0,,1.0,,,,,3.0,,,,,,,,,,
11,"Lynch, Alastair",5,5,9,14,,,,,,,,,3.0,2.0,,,,,,,,,
21,"Morrish, Paul",1,1,5,6,,,,4.0,,,,,,1.0,,,,,,,,,
25,"OConnell, David",10,6,5,15,1,1.0,6.0,,,,,,4.0,2.0,,,,,,,,,
44,"Osborne, Richard",13,2,1,14,4,5.0,,,,,,,2.0,5.0,,,,,,,,,
1,"Roos, Paul",7,2,5,12,1,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
20,"Rowe, Duane",5,1,3,8,,,,3.0,,,,,,1.0,,,,,,,,,
3,"Seecamp, Marcus",8,5,10,18,,1.0,,1.0,,,,,1.0,3.0,,,,,,,,,
33,"Stephens, Brett",10,5,16,26,,1.0,,1.0,,,,,2.0,,,,,,,,,,
8,"Wynd, Jim",26,1,8,34,,2.0,,2.0,,,,,,2.0,1.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,53,127,327,10,24.0,16.0,40.0,,,,,30.0,24.0,1.0,,,,,,,,
Opposition,Opposition,208,93,161,369,14,18.0,21.0,34.0,,,,,24.0,30.0,5.0,,,,,,,,
