Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",28y 253d,180 (73-2-105 41.11%),39 (0.22),←,
4,"Aish, James",18y 260d,16 (5-0-11 31.25%),5 (0.31),←,
17,"Beams, Claye",22y 328d,24 (8-0-16 33.33%),17 (0.71),←,
8,"Bewick, Rohan",24y 289d,58 (24-0-34 41.38%),45 (0.78),←,
42,"Clarke, Justin",20y 250d,31 (12-0-19 38.71%),1 (0.03),←,
33,"Close, Michael",19y 361d,10 (2-0-8 20.00%),8 (0.80),←,
5,"Crisp, Jack",20y 297d,13 (5-0-8 38.46%),5 (0.38),←,
27,"Gardiner, Darcy",18y 307d,12 (4-0-8 33.33%),1 (0.08),←,
6,"Green, Josh",21y 336d,49 (22-0-27 44.90%),64 (1.31),←,
11,"Hanley, Pearce",25y 253d,91 (31-0-60 34.07%),33 (0.36),←,
2,"Harwood, Ryan",22y 353d,52 (21-0-31 40.38%),5 (0.10),←,
35,"Lester, Ryan",21y 334d,50 (20-0-30 40.00%),11 (0.22),←,
36,"Maguire, Matt",30y 57d,164 (80-1-83 49.09%),21 (0.13),65 (26-0-39 40.00%),2 (0.03)
12,"Martin, Stefan",27y 251d,69 (18-1-50 26.81%),27 (0.39),12 (4-0-8 33.33%),4 (0.33)
32,"Mayes, Sam",20y 67d,34 (15-0-19 44.12%),22 (0.65),←,
9,"McGrath, Ashley",31y 67d,212 (102-2-108 48.58%),169 (0.80),←,
25,"McStay, Daniel",19y 32d,4 (2-0-2 50.00%),1 (0.25),←,
21,"Merrett, Daniel",29y 226d,166 (72-3-91 44.28%),64 (0.39),←,
24,"Patfull, Joel",29y 231d,177 (71-3-103 40.96%),24 (0.14),←,
38,"Rockliff, Tom",24y 154d,97 (33-0-64 34.02%),50 (0.52),←,
28,"Taylor, Lewis",19y 159d,17 (5-0-12 29.41%),10 (0.59),←,
15,"Zorko, Dayne",25y 167d,55 (23-0-32 41.82%),57 (1.04),←,
Totals,Totals,23y 312d,1581 (648-12-921 40.99%),679 (0.43),,
C,"Leppitsch, Justin",38y 298d,17 (5-0-12 29.41%),,←,
