Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
16,"Allan, Edward",20y 287d,3 (1-1-1 50.00%),1 (0.33),←,
14,"Cameron, Darcy",29y 234d,96 (53-3-40 56.77%),62 (0.65),95 (53-3-39 57.37%),62 (0.65)
25,"Crisp, Jack",31y 158d,250 (134-4-112 54.40%),87 (0.35),232 (127-4-101 55.60%),77 (0.33)
7,"Daicos, Josh",26y 103d,127 (73-3-51 58.66%),64 (0.50),←,
35,"Daicos, Nick",22y 65d,71 (47-2-22 67.61%),46 (0.65),←,
5,"Elliott, Jamie",32y 200d,195 (118-3-74 61.28%),289 (1.48),←,
23,"Hill, Bobby",25y 28d,89 (50-3-36 57.87%),98 (1.10),48 (33-2-13 70.83%),64 (1.33)
32,"Hoskin-Elliott, Will",31y 188d,225 (113-3-109 50.89%),186 (0.83),173 (101-3-69 59.25%),144 (0.83)
38,"Howe, Jeremy",34y 253d,253 (109-3-141 43.68%),103 (0.41),153 (87-3-63 57.84%),23 (0.15)
1,"Lipinski, Patrick",26y 235d,119 (70-2-47 59.66%),62 (0.52),63 (39-2-22 63.49%),32 (0.51)
44,"Long, Ned",22y 32d,13 (3-0-10 23.08%),3 (0.23),8 (3-0-5 37.50%),2 (0.25)
4,"Maynard, Brayden",28y 170d,210 (112-4-94 54.29%),20 (0.10),←,
31,"McCreery, Beau",23y 324d,78 (48-2-28 62.82%),52 (0.67),←,
26,"McInnes, Reef",22y 87d,21 (12-0-9 57.14%),19 (0.90),←,
11,"McStay, Daniel",29y 258d,181 (91-0-90 50.28%),166 (0.92),20 (13-0-7 65.00%),28 (1.40)
28,"Membrey, Tim",30y 287d,180 (85-2-93 47.78%),294 (1.63),1 (0-0-1 0.00%),1 (1.00)
41,"Mihocek, Brody",32y 33d,138 (81-3-54 59.78%),233 (1.69),←,
30,"Moore, Darcy",29y 43d,174 (92-4-78 54.02%),67 (0.39),←,
10,"Pendlebury, Scott",37y 61d,404 (243-5-156 60.77%),201 (0.50),←,
12,"Perryman, Harry",26y 80d,130 (68-1-61 52.69%),28 (0.22),1 (0-0-1 0.00%),
3,"Quaynor, Isaac",25y 53d,109 (62-2-45 57.80%),5 (0.05),←,
8,"Schultz, Lachie",27y 99d,111 (54-3-54 50.00%),125 (1.13),21 (11-2-8 57.14%),24 (1.14)
22,"Sidebottom, Steele",34y 66d,332 (199-6-127 60.84%),194 (0.58),←,
Totals,Totals,28y 82d,3509 (1918-59-1532 54.66%),2405 (0.69),,
C,"McRae, Craig",51y 168d,75 (50-2-23 68.00%),,←,
