Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Armstrong, Matt",19,2,4,23,1,,,2.0,,,,,1.0,3.0,,,,,,,,,
32,"Baldwin, Jason",14,6,9,23,,,,1.0,,,,,,2.0,,,,,,,,,
34,"Boyd, Brad",6,1,2,8,,,,1.0,,,,,3.0,1.0,,,,,,,,,
17,"Broderick, Paul",12,5,10,22,,,,2.0,,,,,1.0,,,,,,,,,,
18,"Dunstan, Michael",7,2,2,9,,,,1.0,,,,,1.0,,,,,,,,,,
28,"Elliott, Jamie",2,,,2,,,,,,,,,,,,,,,,,,,
6,"Guard, Jeremy",7,3,8,15,,,,3.0,,,,,1.0,,,,,,,,,,
36,"Hawking, Simon",12,3,3,15,,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
26,"Johnston, David",10,1,5,15,,,,,,,,,5.0,,,,,,,,,,
11,"Lynch, Alastair",10,7,4,14,3,,,1.0,,,,,1.0,2.0,,,,,,,,,
29,"Lyon, Ross",12,6,9,21,,,1.0,1.0,,,,,1.0,,,,,,,,,,
30,"Manson, James",7,5,7,14,,1.0,6.0,1.0,,,,,4.0,1.0,,,,,,,,,
25,"McCarthy, John",11,7,6,17,3,1.0,,,,,,,,4.0,,,,,,,,,
49,"McGregor, Anthony",13,3,3,16,1,,,3.0,,,,,2.0,2.0,,,,,,,,,
4,"Paxman, Stephen",6,1,1,7,,,,,,,,,,2.0,,,,,,,,,
1,"Roos, Paul",14,7,6,20,,4.0,,1.0,,,,,1.0,3.0,,,,,,,,,
9,"Sartori, Peter",3,2,2,5,,,6.0,2.0,,,,,1.0,1.0,,,,,,,,,
3,"Seecamp, Marcus",6,,5,11,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
8,"Wynd, Jim",16,,1,17,,,,2.0,,,,,1.0,3.0,,,,,,,,,
16,"Zanotti, Mark",5,2,6,11,,,,2.0,,,,,,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,63,93,285,9,10.0,13.0,26.0,,,,,25.0,28.0,,,,,,,,,
Opposition,Opposition,223,97,146,369,15,20.0,16.0,36.0,,,,,28.0,25.0,6.0,,,,,,,,
