Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Bishop, Matthew",10,6,5,15,,,,,6.0,1.0,,,1.0,,,4.0,10.0,1.0,,3.0,3.0,,100.0
20,"Brogan, Dean",7,5,13,20,,,20.0,,,1.0,7.0,2.0,1.0,2.0,,13.0,7.0,1.0,,5.0,,,93.0
7,"Burgoyne, Peter",18,4,4,22,,1.0,,6.0,2.0,7.0,5.0,5.0,,1.0,,11.0,11.0,,,2.0,1.0,1.0,100.0
8,"Burgoyne, Shaun",11,1,2,13,1,4.0,,3.0,,2.0,3.0,4.0,2.0,4.0,,6.0,7.0,,,3.0,,,100.0
9,"Carr, Josh",11,4,5,16,,,,4.0,2.0,2.0,2.0,3.0,2.0,1.0,,7.0,9.0,,1.0,1.0,1.0,,80.0
25,"Cassisi, Domenic",4,2,2,6,,,,1.0,,1.0,,,,,,2.0,3.0,,,,,,41.0
26,"Cochrane, Stuart",,1,2,2,,,,2.0,,,,1.0,,1.0,,1.0,2.0,,,,,,37.0
35,"Cornes, Chad",8,6,1,9,,,,2.0,,1.0,,1.0,,1.0,,6.0,3.0,3.0,,1.0,,1.0,88.0
17,"Dew, Stuart",8,1,4,12,1,,,4.0,,5.0,,,2.0,,,6.0,6.0,,1.0,1.0,,1.0,88.0
11,"Hardwick, Damien",8,4,3,11,,,,2.0,,1.0,1.0,4.0,,4.0,,2.0,9.0,1.0,,,,,65.0
38,"James, Roger",9,3,9,18,,,,3.0,1.0,2.0,5.0,4.0,,,,8.0,10.0,,,,,,75.0
3,"Montgomery, Brett",7,4,9,16,,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,4.0,12.0,,,2.0,1.0,,100.0
14,"Paxman, Stephen",,,1,1,,,,,,,,2.0,,2.0,,1.0,,,,1.0,,,75.0
15,"Pickett, Byron",7,2,1,8,2,1.0,1.0,6.0,,2.0,2.0,,,,,3.0,5.0,,1.0,4.0,,,67.0
27,"Poulton, Jared",7,1,1,8,,,,1.0,1.0,2.0,,,,,,3.0,5.0,,,1.0,1.0,,43.0
1,"Primus, Matthew",5,5,4,9,2,,9.0,2.0,,,1.0,1.0,,1.0,,5.0,4.0,2.0,4.0,,,,65.0
6,"Schofield, Jarrad",11,1,7,18,,,,5.0,1.0,2.0,4.0,,3.0,,,7.0,13.0,,,2.0,1.0,,93.0
36,"Stevens, Nick",15,4,6,21,1,2.0,,4.0,3.0,2.0,,2.0,,,1.0,4.0,14.0,,2.0,,,,100.0
16,"Tredrea, Warren",9,6,9,18,2,,,1.0,,9.0,,2.0,1.0,1.0,,15.0,4.0,3.0,1.0,2.0,,3.0,100.0
2,"Wakelin, Darryl",7,3,2,9,,,,4.0,2.0,,,1.0,1.0,1.0,,6.0,3.0,2.0,,5.0,,,100.0
4,"Wanganeen, Gavin",14,4,4,18,1,,,3.0,1.0,6.0,4.0,2.0,1.0,1.0,,6.0,12.0,,,,3.0,1.0,100.0
21,"Wilson, Michael",2,2,6,8,,,,3.0,,1.0,,,1.0,,,3.0,5.0,,,2.0,1.0,2.0,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,178,69,100,278,10,9.0,31.0,56.0,20.0,48.0,35.0,35.0,17.0,21.0,1.0,123.0,154.0,13.0,10.0,35.0,12.0,9.0,
Opposition,Opposition,171,91,120,291,10,10.0,28.0,39.0,33.0,35.0,31.0,41.0,21.0,17.0,5.0,123.0,178.0,17.0,9.0,43.0,14.0,6.0,
