Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
22,"Addison, Dylan",22y 172d,43 (28-1-14 66.28%),7 (0.16),←,
21,"Akermanis, Jason",33y 32d,317 (191-6-120 61.20%),419 (1.32),69 (40-2-27 59.42%),112 (1.62)
5,"Boyd, Matthew",27y 213d,141 (70-2-69 50.35%),50 (0.35),←,
17,"Cooney, Adam",24y 179d,136 (70-2-64 52.21%),127 (0.93),←,
4,"Cross, Daniel",26y 363d,134 (65-3-66 49.63%),24 (0.18),←,
3,"Everitt, Andrejs",21y 15d,25 (14-1-10 58.00%),5 (0.20),←,
13,"Giansiracusa, Daniel",28y 17d,169 (76-4-89 46.15%),173 (1.02),←,
9,"Gilbee, Lindsay",28y 263d,165 (82-2-81 50.30%),101 (0.61),←,
16,"Griffen, Ryan",23y 244d,98 (56-1-41 57.65%),51 (0.52),←,
8,"Hahn, Mitch",28y 322d,163 (78-2-83 48.47%),151 (0.93),←,
28,"Hall, Barry",33y 48d,251 (126-3-122 50.80%),614 (2.45),1 (0-0-1 0.00%),3 (3.00)
40,"Harbrow, Jarrod",21y 253d,49 (27-1-21 56.12%),20 (0.41),←,
25,"Hargrave, Ryan",28y 245d,165 (78-4-83 48.48%),35 (0.21),←,
7,"Higgins, Shaun",22y 24d,53 (29-1-23 55.66%),66 (1.25),←,
20,"Hill, Josh",21y 68d,43 (27-1-15 63.95%),50 (1.16),←,
15,"Hudson, Ben",31y 32d,103 (63-1-39 61.65%),10 (0.10),48 (31-1-16 65.63%),4 (0.08)
6,"Johnson, Brad",33y 253d,350 (169-7-174 49.29%),549 (1.57),←,
36,"Lake, Brian",28y 29d,148 (70-2-76 47.97%),16 (0.11),←,
27,"Minson, Will",24y 351d,92 (54-1-37 59.24%),49 (0.53),←,
2,"Murphy, Robert",27y 292d,168 (73-4-91 44.64%),139 (0.83),←,
42,"Picken, Liam",23y 239d,24 (15-0-9 62.50%),9 (0.38),←,
12,"Williams, Tom",23y 254d,34 (18-1-15 54.41%),1 (0.03),←,
Totals,Totals,26y 211d,2871 (1479-50-1342 51.52%),2666 (0.93),,
C,"Eade, Rodney",51y 358d,271 (147-4-120 54.98%),,119 (66-2-51 56.30%),
