Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
32,"Bugg, Tomas",23y 32d,72 (21-0-51 29.17%),18 (0.25),7 (4-0-3 57.14%),2 (0.29)
20,"Garland, Colin",28y 9d,138 (33-2-103 24.64%),16 (0.12),←,
36,"Garlett, Jeff",26y 278d,134 (67-1-66 50.37%),234 (1.75),27 (10-0-17 37.04%),51 (1.89)
11,"Gawn, Max",24y 129d,46 (13-0-33 28.26%),25 (0.54),←,
43,"Harmes, James",20y 215d,15 (7-0-8 46.67%),10 (0.67),←,
1,"Hogan, Jesse",21y 85d,27 (10-0-17 37.04%),61 (2.26),←,
29,"Hunt, Jayden",21y 34d,4 (3-0-1 75.00%),,←,
39,"Jetta, Neville",26y 85d,80 (20-2-58 26.25%),21 (0.26),←,
2,"Jones, Nathan",28y 108d,208 (52-3-153 25.72%),99 (0.48),←,
35,"Kennedy, Ben",22y 65d,32 (16-0-16 50.00%),22 (0.69),7 (4-0-3 57.14%),7 (1.00)
16,"Kent, Dean",22y 73d,39 (9-0-30 23.08%),33 (0.85),←,
25,"McDonald, Tom",23y 232d,89 (22-0-67 24.72%),7 (0.08),←,
22,"Michie, Viv",24y 74d,19 (4-0-15 21.05%),,18 (4-0-14 22.22%),
13,"Oliver, Clayton",18y 290d,5 (3-0-2 60.00%),3 (0.60),←,
21,"Pedersen, Cameron",29y 51d,58 (17-0-41 29.31%),50 (0.86),42 (10-0-32 23.81%),30 (0.71)
5,"Petracca, Christian",20y 124d,2 (1-0-1 50.00%),2 (1.00),←,
15,"Stretch, Billy",19y 242d,13 (4-0-9 30.77%),3 (0.23),←,
12,"Tyson, Dom",22y 334d,57 (14-0-43 24.56%),33 (0.58),44 (13-0-31 29.55%),29 (0.66)
23,"Vince, Bernie",30y 218d,178 (81-0-97 45.51%),109 (0.61),49 (13-0-36 26.53%),29 (0.59)
7,"Viney, Jack",22y 24d,56 (14-0-42 25.00%),15 (0.27),←,
42,"Wagner, Josh",21y 318d,5 (3-0-2 60.00%),,←,
4,"Watts, Jack",25y 42d,122 (32-2-88 27.05%),97 (0.80),←,
Totals,Totals,23y 272d,1399 (446-10-943 31.88%),858 (0.61),,
C,"Roos, Paul",52y 315d,253 (131-2-120 52.17%),,51 (15-0-36 29.41%),
