Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
37,"Callinan, Ian",29y 152d,10 (7-0-3 70.00%),15 (1.50),←,
32,"Dangerfield, Patrick",22y 45d,72 (36-0-36 50.00%),76 (1.06),←,
11,"Doughty, Michael",32y 289d,215 (125-0-90 58.14%),46 (0.21),←,
45,"Henderson, Ricky",23y 252d,37 (18-0-19 48.65%),26 (0.70),←,
24,"Jacobs, Sam",24y 40d,44 (20-0-24 45.45%),7 (0.16),27 (13-0-14 48.15%),4 (0.15)
10,"Jaensch, Matthew",22y 245d,29 (14-0-15 48.28%),14 (0.48),←,
20,"Jenkins, Josh",23y 102d,2 (2-0-0 100.00%),3 (1.50),←,
18,"Johncock, Graham",29y 212d,213 (117-0-96 54.93%),103 (0.48),←,
27,"Lynch, Tom",21y 248d,10 (7-0-3 70.00%),9 (0.90),4 (3-0-1 75.00%),5 (1.25)
14,"Mackay, David",23y 300d,71 (43-0-28 60.56%),19 (0.27),←,
23,"Petrenko, Jared",22y 150d,44 (18-0-26 40.91%),27 (0.61),←,
40,"Porplyzia, Jason",27y 175d,95 (57-0-38 60.00%),144 (1.52),←,
3,"Reilly, Brent",28y 190d,164 (89-0-75 54.27%),49 (0.30),←,
25,"Rutten, Ben",28y 358d,177 (102-0-75 57.63%),6 (0.03),←,
9,"Sloane, Rory",22y 64d,41 (21-0-20 51.22%),21 (0.51),←,
33,"Smith, Brodie",20y 127d,22 (12-0-10 54.55%),3 (0.14),←,
12,"Talia, Daniel",20y 231d,17 (11-0-6 64.71%),,←,
5,"Thompson, Scott",29y 67d,206 (114-0-92 55.34%),133 (0.65),167 (96-0-71 57.49%),116 (0.69)
4,"Tippett, Kurt",25y 12d,91 (45-0-46 49.45%),167 (1.84),←,
7,"van Berlo, Nathan",25y 349d,146 (83-0-63 56.85%),48 (0.33),←,
17,"Vince, Bernie",26y 231d,93 (50-0-43 53.76%),53 (0.57),←,
47,"Wright, Matthew",22y 158d,24 (11-0-13 45.83%),21 (0.88),←,
Totals,Totals,25y 49d,1823 (1002-0-821 54.96%),990 (0.54),,
C,"Sanderson, Brenton",38y 83d,8 (7-0-1 87.50%),,←,
