Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Ballantyne, Hayden",5,3,6,11,1,,,5.0,1.0,2.0,,3.0,,1.0,,5.0,7.0,,1.0,2.0,,,83.0
21,"Barlow, Michael",11,7,10,21,1,,,6.0,2.0,4.0,1.0,1.0,,1.0,,7.0,14.0,2.0,1.0,2.0,,1.0,79.0
26,"Bradley, Kepler",3,1,3,6,1,,9.0,,1.0,,,2.0,1.0,1.0,,2.0,4.0,,1.0,1.0,,,84.0
15,"Crowley, Ryan",7,3,,7,,,,4.0,2.0,2.0,2.0,3.0,,2.0,,4.0,3.0,1.0,,,,,83.0
3,"Dawson, Zac",2,1,2,4,,,,,2.0,,,3.0,,2.0,,2.0,,1.0,,6.0,,,100.0
40,"de Boer, Matt",11,7,11,22,1,1.0,,11.0,1.0,4.0,6.0,7.0,2.0,2.0,,16.0,6.0,2.0,,1.0,,,81.0
41,"Duffield, Paul",17,8,3,20,1,,,4.0,5.0,3.0,1.0,1.0,1.0,,,7.0,12.0,2.0,1.0,4.0,1.0,,98.0
12,"Griffin, Jonathon",4,4,2,6,,,27.0,4.0,,2.0,,,1.0,,,4.0,3.0,2.0,,4.0,,,85.0
32,"Hill, Stephen",4,2,7,11,1,1.0,,3.0,,1.0,3.0,1.0,,1.0,,7.0,3.0,1.0,1.0,,1.0,,81.0
5,"Ibbotson, Garrick",7,2,3,10,,,,2.0,,2.0,2.0,2.0,1.0,2.0,,4.0,6.0,,,1.0,,,71.0
37,"Johnson, Michael",11,4,1,12,,,,,3.0,,,,1.0,,,5.0,8.0,,,8.0,,,94.0
23 ↓,"Mayne, Chris",2,2,4,6,1,,,1.0,,1.0,,2.0,,1.0,,5.0,1.0,2.0,1.0,,,1.0,41.0
9,"McPhee, Adam",5,3,3,8,,,,1.0,3.0,1.0,,2.0,,1.0,,2.0,6.0,1.0,,2.0,,,98.0
16,"Mundy, David",13,3,7,20,,,1.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,,12.0,8.0,,,,,,68.0
13,"Mzungu, Tendai",9,2,2,11,,,,3.0,,2.0,2.0,3.0,,1.0,,5.0,7.0,,,2.0,,,81.0
27 ↑,"Neale, Lachie",3,1,2,5,1,,,,,1.0,,1.0,,,,3.0,2.0,,1.0,,,1.0,42.0
29,"Pavlich, Matthew",6,3,8,14,2,1.0,,2.0,,2.0,,2.0,,2.0,,9.0,5.0,2.0,,1.0,,2.0,89.0
46,"Pearce, Clancee",13,4,3,16,1,1.0,,2.0,2.0,3.0,3.0,1.0,1.0,,,9.0,7.0,1.0,,,,,84.0
24,"Roberton, Dylan",6,3,1,7,,,,2.0,1.0,2.0,,2.0,,1.0,,4.0,3.0,1.0,,4.0,1.0,,92.0
34,"Spurr, Lee",11,10,4,15,,,1.0,2.0,3.0,2.0,1.0,5.0,2.0,1.0,,6.0,10.0,3.0,,3.0,1.0,,98.0
8,"Suban, Nick",8,1,2,10,,,,3.0,,4.0,,2.0,2.0,2.0,,5.0,5.0,,,,,3.0,89.0
38,"Walters, Michael",8,4,3,11,3,1.0,,2.0,,5.0,,2.0,1.0,1.0,,6.0,6.0,,3.0,3.0,,1.0,81.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,166,78,87,253,14,7.0,38.0,60.0,27.0,48.0,26.0,48.0,14.0,23.0,,129.0,126.0,21.0,10.0,44.0,4.0,9.0,
Opposition,Opposition,209,91,123,332,17,17.0,42.0,56.0,30.0,49.0,43.0,33.0,23.0,14.0,6.0,145.0,193.0,16.0,18.0,50.0,4.0,11.0,
