Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
16,"Croft, Matthew",23y 54d,39 (22-2-15 58.97%),18 (0.46),←,
11,"Curley, Todd",23y 97d,7 (3-1-3 50.00%),5 (0.71),4 (1-1-2 37.50%),4 (1.00)
14,"Darcy, Luke",20y 283d,7 (2-1-4 35.71%),3 (0.43),←,
3,"Grant, Chris",23y 129d,126 (66-3-57 53.57%),263 (2.09),←,
10,"Hunter, Mark",30y 230d,124 (60-3-61 49.60%),9 (0.07),←,
13,"Jakovich, Allen",28y 30d,48 (25-1-22 53.13%),201 (4.19),1 (0-1-0 50.00%),
6,"Johnson, Brad",19y 277d,34 (15-2-17 47.06%),20 (0.59),←,
4,"Kellett, Nigel",26y 124d,82 (42-2-38 52.44%),38 (0.46),←,
35,"Kretiuk, Steven",23y 291d,48 (29-1-18 61.46%),9 (0.19),←,
39,"Liberatore, Tony",30y 69d,155 (84-3-68 55.16%),75 (0.48),←,
23,"Martin, Michael",19y 55d,7 (1-1-5 21.43%),1 (0.14),←,
9,"Nicholson, Brad",21y 321d,30 (15-2-13 53.33%),1 (0.03),←,
44,"Osborne, Richard",31y 309d,248 (104-2-142 42.34%),536 (2.16),45 (23-2-20 53.33%),86 (1.91)
22,"Quill, Peter",26y 241d,46 (27-2-17 60.87%),16 (0.35),←,
36,"Romero, Jose",24y 263d,109 (58-1-50 53.67%),111 (1.02),20 (9-1-10 47.50%),13 (0.65)
38,"Sir, Sedat",21y 45d,10 (3-1-6 35.00%),,←,
5,"Smith, Rohan",22y 325d,57 (31-2-24 56.14%),26 (0.46),←,
24,"Wallis, Stephen",31y 176d,243 (126-4-113 52.67%),57 (0.23),←,
25,"Watts, Jason",24y 266d,34 (18-1-15 54.41%),13 (0.38),←,
45,"Wira, Brad",24y 35d,5 (1-1-3 30.00%),,4 (1-1-2 37.50%),
15,"Wynd, Scott",26y 86d,130 (65-3-62 51.15%),24 (0.18),←,
Totals,Totals,24y 350d,1589 (797-39-753 50.16%),1426 (0.90),,
C,"Joyce, Alan",53y 182d,142 (91-2-49 64.79%),,49 (24-2-23 51.02%),
