West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
1,"Brown, Mitch",7,3,6,13,,1.0,,3.0,,2.0,,2.0,2.0,1.0,,7.0,6.0,,1.0,2.0,,,69.0
26,"Butler, Sam",6,6,7,13,,,,1.0,1.0,1.0,,3.0,,2.0,,3.0,11.0,1.0,,1.0,,,66.0
20,"Cox, Dean",6,3,8,14,1,,29.0,2.0,1.0,,3.0,1.0,1.0,1.0,,6.0,8.0,,1.0,1.0,,,78.0
18,"Dalziell, Bradd",14,5,6,20,1,,,4.0,1.0,3.0,2.0,1.0,3.0,1.0,,5.0,15.0,,,,1.0,,70.0
5,"Ebert, Brad",8,7,8,16,1,4.0,,6.0,3.0,2.0,1.0,2.0,1.0,2.0,,3.0,13.0,,3.0,1.0,1.0,,63.0
32,"Embley, Andrew",20,6,4,24,1,,1.0,3.0,3.0,4.0,6.0,4.0,1.0,,,10.0,14.0,1.0,,1.0,,1.0,86.0
25,"Hurn, Shannon",21,9,,21,,,,1.0,8.0,4.0,,2.0,,,,2.0,14.0,1.0,,5.0,,,92.0
17,"Kennedy, Josh",9,3,2,11,3,1.0,,3.0,,6.0,,,1.0,,,6.0,4.0,2.0,,,2.0,1.0,87.0
2,"LeCras, Mark",11,5,2,13,2,2.0,,,,3.0,1.0,1.0,1.0,,,6.0,7.0,1.0,2.0,,,,92.0
16,"Mackenzie, Eric",2,2,7,9,,,1.0,3.0,,,,2.0,,1.0,,2.0,7.0,,,5.0,,,92.0
42,"Maister, Beau",7,4,4,11,,,,1.0,3.0,,1.0,,1.0,,,5.0,6.0,,,3.0,,,93.0
27,"McKinley, Ben",9,7,,9,3,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,4.0,6.0,2.0,4.0,1.0,,1.0,89.0
9,"Naitanui, Nic",6,2,5,11,2,,19.0,4.0,,3.0,4.0,2.0,1.0,1.0,,8.0,3.0,2.0,1.0,1.0,,,76.0
11,"Priddis, Matt",7,1,23,30,,1.0,,5.0,3.0,1.0,6.0,2.0,1.0,1.0,,14.0,16.0,,,,,,90.0
24,"Rosa, Matt",7,2,9,16,,,,7.0,1.0,,4.0,,,,,6.0,10.0,,,3.0,,,89.0
31,"Schofield, Will",6,5,3,9,,,,2.0,1.0,,1.0,1.0,1.0,,,1.0,8.0,,,9.0,,,90.0
37,"Selwood, Adam",4,1,9,13,,,,2.0,,1.0,4.0,,3.0,,,7.0,7.0,,,,,1.0,34.0
10,"Selwood, Scott",3,1,5,8,,,,6.0,,1.0,1.0,2.0,,2.0,,6.0,1.0,,,1.0,,,80.0
12,"Sheppard, Brad",17,6,5,22,,1.0,,,1.0,6.0,1.0,1.0,1.0,,,6.0,15.0,,,1.0,1.0,,91.0
47,"Stevenson, Lewis",10,2,7,17,,,,,2.0,3.0,,3.0,,,,3.0,14.0,,,1.0,,3.0,64.0
15,"Swift, Tom",9,5,14,23,,,,2.0,3.0,3.0,2.0,4.0,,3.0,,8.0,16.0,,,,1.0,,73.0
8,"Waters, Beau",20,17,13,33,,,,4.0,3.0,5.0,,5.0,5.0,1.0,2.0,14.0,21.0,1.0,1.0,,1.0,1.0,94.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,209,102,147,356,14,14.0,50.0,61.0,34.0,49.0,38.0,39.0,24.0,17.0,2.0,132.0,222.0,11.0,13.0,36.0,7.0,8.0,
Opposition,Opposition,202,84,186,388,18,14.0,33.0,72.0,33.0,55.0,37.0,55.0,17.0,24.0,4.0,141.0,242.0,11.0,13.0,53.0,11.0,17.0,
