Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",30y 103d,230 (141-0-89 61.30%),129 (0.56),←,
27,"Baird, John",23y 24d,28 (15-1-12 55.36%),5 (0.18),←,
16,"Brown, Leigh",21y 132d,77 (26-1-50 34.42%),28 (0.36),14 (7-1-6 53.57%),8 (0.57)
6,"Grant, Shannon",26y 77d,184 (108-2-74 59.24%),205 (1.11),126 (76-1-49 60.71%),167 (1.33)
39,"Harding, Leigh",22y 70d,37 (19-1-17 52.70%),58 (1.57),←,
4,"Harris, Daniel",21y 56d,21 (9-1-11 45.24%),6 (0.29),←,
29,"Harvey, Brent",25y 52d,143 (88-1-54 61.89%),165 (1.15),←,
21,"Jones, Corey",22y 129d,30 (13-0-17 43.33%),24 (0.80),←,
34,"King, David",31y 120d,212 (132-1-79 62.50%),128 (0.60),←,
35,"Makepeace, Troy",24y 121d,76 (39-1-36 51.97%),18 (0.24),←,
32,"Morrell, Digby",23y 268d,38 (20-1-17 53.95%),45 (1.18),←,
19,"Motlop, Daniel",21y 111d,14 (3-1-10 25.00%),6 (0.43),←,
20,"Petrie, Drew",20y 263d,33 (15-1-17 46.97%),26 (0.79),←,
17,"Porter, Mark",26y 267d,87 (44-1-42 51.15%),20 (0.23),32 (16-1-15 51.56%),7 (0.22)
3,"Rawlings, Brady",22y 25d,62 (37-0-25 59.68%),22 (0.35),←,
26,"Rocca, Saverio",29y 227d,207 (94-3-110 46.14%),624 (3.01),51 (24-1-26 48.04%),110 (2.16)
7,"Simpson, Adam",27y 139d,172 (109-1-62 63.66%),54 (0.31),←,
9,"Sinclair, Jess",24y 313d,97 (35-1-61 36.60%),49 (0.51),47 (22-1-24 47.87%),23 (0.49)
10,"Stevens, Anthony",32y 3d,266 (161-1-104 60.71%),118 (0.44),←,
12,"Stevens, Michael",22y 240d,19 (8-0-11 42.11%),4 (0.21),2 (0-0-2 0.00%),1 (0.50)
36,"Watt, Shannon",22y 221d,40 (20-1-19 51.25%),4 (0.10),←,
8,"Wells, Daniel",18y 152d,10 (6-1-3 65.00%),3 (0.30),←,
Totals,Totals,24y 191d,2083 (1142-21-920 54.82%),1741 (0.84),,
C,"Laidley, Dani",36y 100d,14 (7-1-6 53.57%),,←,
