Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
10,"Bateman, Chance",27y 358d,129 (64-0-65 49.61%),47 (0.36),←,
14,"Birchall, Grant",21y 137d,74 (44-0-30 59.46%),7 (0.09),←,
30,"Brown, Campbell",25y 290d,132 (64-0-68 48.48%),54 (0.41),←,
39,"Campbell, Robert",27y 12d,111 (60-0-51 54.05%),25 (0.23),←,
31,"Dew, Stuart",29y 300d,206 (120-3-83 58.98%),265 (1.29),26 (18-0-8 69.23%),20 (0.77)
8,"Ellis, Xavier",21y 106d,41 (28-0-13 68.29%),8 (0.20),←,
23,"Franklin, Lance",22y 135d,93 (49-0-44 52.69%),276 (2.97),←,
18,"Guerra, Brent",27y 16d,166 (113-0-53 68.07%),91 (0.55),70 (44-0-26 62.86%),8 (0.11)
15,"Hodge, Luke",24y 364d,141 (68-0-73 48.23%),92 (0.65),←,
3,"Lewis, Jordan",23y 51d,92 (47-0-45 51.09%),28 (0.30),←,
21,"McGlynn, Ben",23y 312d,34 (20-0-14 58.82%),20 (0.59),←,
5,"Mitchell, Sam",26y 245d,145 (72-0-73 49.66%),25 (0.17),←,
29,"Murphy, Tom",23y 87d,41 (21-0-20 51.22%),3 (0.07),←,
17,"Muston, Beau",22y 105d,4 (2-0-2 50.00%),1 (0.25),←,
7,"Osborne, Michael",26y 320d,107 (50-0-57 46.73%),57 (0.53),←,
34,"Renouf, Brent",21y 42d,16 (11-0-5 68.75%),,←,
2,"Roughead, Jarryd",22y 142d,95 (52-0-43 54.74%),168 (1.77),←,
25,"Schoenmakers, Ryan",18y 218d,5 (2-0-3 40.00%),,←,
12,"Sewell, Brad",25y 132d,95 (47-0-48 49.47%),14 (0.15),←,
13,"Taylor, Simon",26y 300d,76 (39-0-37 51.32%),15 (0.20),←,
22,"Tuck, Travis",21y 280d,17 (10-0-7 58.82%),1 (0.06),←,
6,"Williams, Mark",26y 62d,110 (49-0-61 44.55%),242 (2.20),←,
Totals,Totals,24y 133d,1930 (1032-3-895 53.47%),1439 (0.75),,
C,"Clarkson, Alastair",41y 48d,105 (54-0-51 51.43%),,←,
