Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Allen, Scott",5,3,,5,1,,,2.0,,,,,,3.0,,,,,,,,,
14,"Darcy, Luke",15,12,6,21,1,1.0,11.0,3.0,,,,,1.0,1.0,,,,,,,,,
32,"Ellis, Craig",6,1,3,9,,,,,,,,,1.0,,,,,,,,,,
3,"Grant, Chris",19,8,5,24,2,,,1.0,,,,,6.0,,2.0,,,,,,,,
37,"Hargraves, Daniel",11,7,1,12,2,,,,,,,,2.0,2.0,,,,,,,,,
6,"Johnson, Brad",4,1,3,7,,,,,,,,,,1.0,,,,,,,,,
4,"Kellett, Nigel",13,5,3,16,,1.0,,,,,,,,,,,,,,,,,
2,"Kolyniuk, Steven",11,2,1,12,,1.0,,,,,,,,1.0,,,,,,,,,
35,"Kretiuk, Steven",8,4,4,12,,,,1.0,,,,,,,,,,,,,,,
39,"Liberatore, Tony",8,1,8,16,,,,3.0,,,,,1.0,1.0,,,,,,,,,
23,"Martin, Michael",7,4,6,13,1,,,1.0,,,,,,1.0,,,,,,,,,
36,"Romero, Jose",20,7,10,30,1,,,,,,,,,,,,,,,,,,
38,"Sir, Sedat",7,,3,10,,,,2.0,,,,,3.0,,,,,,,,,,
5,"Smith, Rohan",15,6,6,21,1,1.0,,2.0,,,,,2.0,,,,,,,,,,
8,"Southern, Daniel",6,1,1,7,,,,,,,,,1.0,,,,,,,,,,
24,"Wallis, Stephen",15,6,4,19,,,,,,,,,,,,,,,,,,,
25,"Watts, Jason",6,3,1,7,2,2.0,,,,,,,1.0,,,,,,,,,,
34,"West, Mark",1,1,1,2,,,,1.0,,,,,,,,,,,,,,,
7,"West, Scott",6,1,7,13,,,,2.0,,,,,2.0,,,,,,,,,,
45,"Wira, Brad",16,6,6,22,,,,1.0,,,,,1.0,1.0,,,,,,,,,
15,"Wynd, Scott",1,2,8,9,,,4.0,,,,,,2.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,81,87,287,11,10.0,15.0,19.0,,,,,23.0,12.0,2.0,,,,,,,,
Opposition,Opposition,183,103,126,309,11,13.0,18.0,27.0,,,,,12.0,23.0,4.0,,,,,,,,
