Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
16,"Bramble, Lachlan",23y 89d,5 (1-1-3 30.00%),,←,
22,"Breust, Luke",30y 248d,237 (155-2-80 65.82%),437 (1.84),←,
42,"Brockman, Tyler",18y 237d,6 (1-1-4 25.00%),6 (1.00),←,
9,"Burgoyne, Shaun",38y 269d,402 (260-3-139 65.05%),301 (0.75),245 (163-3-79 67.14%),130 (0.53)
24,"Cousins, James",23y 120d,34 (11-1-22 33.82%),12 (0.35),←,
8,"Frost, Sam",27y 323d,124 (45-1-78 36.69%),8 (0.06),33 (9-1-23 28.79%),
38,"Grainger-Barras, Denver",19y 91d,3 (1-1-1 50.00%),,←,
30,"Greaves, Damon",21y 83d,9 (1-1-7 16.67%),1 (0.11),←,
28,"Hartigan, Kyle",29y 252d,127 (68-1-58 53.94%),1 (0.01),14 (3-1-10 25.00%),
17,"Howe, Daniel",25y 225d,82 (42-2-38 52.44%),18 (0.22),←,
39,"Jeka, Emerson",19y 302d,4 (0-1-3 12.50%),2 (0.50),←,
34,"Koschitzke, Jacob",21y 6d,16 (4-1-11 28.13%),21 (1.31),←,
2,"Lewis, Mitch",22y 276d,31 (9-1-21 30.65%),39 (1.26),←,
7,"McEvoy, Ben",32y 6d,239 (128-4-107 54.39%),97 (0.41),148 (77-2-69 52.70%),70 (0.47)
3,"Mitchell, Tom",28y 47d,145 (76-2-67 53.10%),67 (0.46),80 (34-2-44 43.75%),29 (0.36)
36,"Moore, Dylan",21y 347d,27 (7-1-19 27.78%),26 (0.96),←,
44,"Newcombe, Jai",19y 349d,5 (2-1-2 50.00%),1 (0.20),←,
23,"OBrien, Tim",27y 111d,92 (48-2-42 53.26%),71 (0.77),←,
10,"OMeara, Jaeger",27y 144d,118 (53-1-64 45.34%),59 (0.50),74 (35-1-38 47.97%),32 (0.43)
21,"Phillips, Tom",25y 71d,106 (55-3-48 53.30%),52 (0.49),17 (4-1-12 26.47%),8 (0.47)
37,"Reeves, Ned",22y 259d,3 (0-1-2 16.67%),1 (0.33),←,
26,"Shiels, Liam",30y 79d,237 (149-2-86 63.29%),85 (0.36),←,
5,"Worpel, James",22y 174d,64 (27-1-36 42.97%),23 (0.36),←,
Totals,Totals,25y 67d,2116 (1143-35-938 54.02%),1328 (0.63),,
C,"Clarkson, Alastair",53y 81d,385 (225-3-157 58.83%),,←,
