North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
21,"Coleman-Jones, Callum",24y 277d,29 (5-1-23 18.97%),20 (0.69),20 (1-0-19 5.00%),9 (0.45)
4,"Corr, Aidan",29y 304d,140 (51-3-86 37.50%),3 (0.02),42 (4-0-38 9.52%),1 (0.02)
25,"Curtis, Paul",21y 12d,37 (4-0-33 10.81%),31 (0.84),←,
9,"Davies-Uniacke, Luke",24y 282d,86 (18-1-67 21.51%),30 (0.35),←,
42,"Dawson, Kallan",25y 238d,6 (1-0-5 16.67%),,←,
7,"Duursma, Zane",18y 201d,1 (0-0-1 0.00%),2 (2.00),←,
16,"Fisher, Zac",25y 275d,108 (35-1-72 32.87%),53 (0.49),1 (0-0-1 0.00%),
40,"Ford, Eddie",21y 269d,23 (1-0-22 4.35%),17 (0.74),←,
31,"Goater, Josh",20y 288d,12 (3-0-9 25.00%),,←,
20,"Larkey, Nick",25y 284d,95 (20-1-74 21.58%),194 (2.04),←,
35,"Lazzaro, Charlie",21y 357d,31 (5-0-26 16.13%),3 (0.10),←,
10,"McKercher, Colby",18y 339d,1 (0-0-1 0.00%),,←,
32,"Pink, Toby",25y 218d,1 (0-0-1 0.00%),,←,
24,"Powell, Tom",22y 14d,46 (6-1-39 14.13%),16 (0.35),←,
8,"Scott, Bailey",23y 251d,79 (9-1-69 12.03%),27 (0.34),←,
3,"Sheezel, Harry",19y 155d,24 (3-0-21 12.50%),3 (0.13),←,
14,"Shiels, Liam",32y 322d,272 (158-3-111 58.64%),94 (0.35),17 (2-0-15 11.76%),4 (0.24)
15,"Stephens, Dylan",23y 68d,44 (25-0-19 56.82%),11 (0.25),1 (0-0-1 0.00%),
2,"Stephenson, Jaidyn",25y 61d,111 (40-1-70 36.49%),124 (1.12),57 (6-1-50 11.40%),48 (0.84)
13,"Tucker, Darcy",27y 53d,127 (43-0-84 33.86%),41 (0.32),19 (1-0-18 5.26%),6 (0.32)
6,"Wardlaw, George",19y 279d,9 (0-0-9 0.00%),1 (0.11),←,
38,"Xerri, Tristan",25y 1d,34 (6-1-27 19.12%),14 (0.41),←,
44,"Zurhaar, Cameron",25y 299d,100 (24-1-75 24.50%),134 (1.34),←,
Totals,Totals,23y 322d,1416 (457-15-944 32.27%),818 (0.58),,
C,"Clarkson, Alastair",55y 324d,404 (231-4-169 57.67%),,14 (3-0-11 21.43%),
