Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
27,"Chick, Daniel",20y 174d,17 (8-1-8 50.00%),11 (0.65),←,
5,"Collins, Andrew",31y 99d,208 (132-1-75 63.70%),37 (0.18),←,
3,"Condon, Anthony",28y 240d,136 (93-0-43 68.38%),48 (0.35),←,
9,"Crawford, Shane",21y 328d,75 (38-1-36 51.33%),62 (0.83),←,
19,"Dunstall, Jason",31y 354d,243 (167-1-75 68.93%),1148 (4.72),←,
34,"Graham, Mark",23y 142d,60 (28-1-31 47.50%),9 (0.15),←,
15,"Harford, Daniel",19y 136d,28 (11-0-17 39.29%),12 (0.43),←,
2,"Holland, Nick",22y 4d,33 (12-1-20 37.88%),25 (0.76),←,
17,"Hudson, Paul",26y 13d,130 (77-0-53 59.23%),262 (2.02),←,
1,"Jencke, Ray",30y 130d,184 (118-1-65 64.40%),27 (0.15),←,
11,"Kappler, Darren",31y 192d,160 (52-1-107 32.81%),136 (0.85),14 (7-1-6 53.57%),11 (0.79)
24,"Langford, Chris",33y 213d,290 (200-2-88 69.31%),31 (0.11),←,
12,"Lawrence, Stephen",27y 102d,118 (70-0-48 59.32%),25 (0.21),←,
37,"Lekkas, Angelo",20y 34d,1 (0-0-1 0.00%),,←,
44,"Platten, John",33y 138d,237 (156-1-80 66.03%),213 (0.90),←,
18,"Pritchard, Darrin",30y 134d,194 (129-1-64 66.75%),92 (0.47),←,
4,"Salmon, Paul",31y 195d,222 (128-3-91 58.33%),513 (2.31),13 (5-1-7 42.31%),4 (0.31)
29,"Tallis, Rayden",21y 54d,43 (19-0-24 44.19%),8 (0.19),←,
6,"Taylor, Richard",23y 19d,28 (13-1-14 48.21%),12 (0.43),←,
33,"Treleven, Craig",26y 49d,18 (8-1-9 47.22%),7 (0.39),←,
30,"Woods, Tony",27y 31d,66 (28-1-37 43.18%),17 (0.26),35 (12-1-22 35.71%),7 (0.20)
Totals,Totals,26y 254d,2491 (1487-18-986 59.69%),2695 (1.08),,
C,"Judge, Ken",38y 200d,18 (8-1-9 47.22%),,←,
