Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game],Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Doughty, Michael",15,6,22,37,,,,4.0,2.0,5.0,1.0,1.0,1.0,,2.0,4.0,33.0,,,9.0,,1.0,94.0
26,"Douglas, Richard",8,3,7,15,2,,,5.0,,2.0,1.0,1.0,,,,2.0,13.0,,1.0,1.0,3.0,1.0,90.0
9,"Edwards, Tyson",13,4,20,33,,,,3.0,1.0,4.0,3.0,4.0,1.0,1.0,,12.0,22.0,,1.0,,1.0,2.0,80.0
36,"Goodwin, Simon",15,8,22,37,,,,2.0,1.0,5.0,1.0,,1.0,,3.0,3.0,33.0,1.0,,3.0,2.0,2.0,90.0
37,"Hentschel, Trent",6,3,4,10,2,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,4.0,6.0,1.0,2.0,2.0,,,81.0
18,"Johncock, Graham",12,8,15,27,,,,,2.0,3.0,,,,,,6.0,21.0,,,1.0,3.0,,92.0
21,"Knights, Chris",12,5,13,25,2,3.0,,3.0,,5.0,1.0,2.0,1.0,1.0,,8.0,18.0,3.0,2.0,1.0,2.0,,84.0
14,"Mackay, David",5,3,14,19,,,,2.0,,2.0,3.0,,,,,4.0,15.0,,,1.0,2.0,1.0,70.0
20,"Maric, Ivan",5,4,5,10,2,,15.0,6.0,,,2.0,2.0,3.0,2.0,,6.0,4.0,3.0,2.0,1.0,,,81.0
23,"McLeod, Andrew",12,3,14,26,,1.0,,5.0,1.0,7.0,1.0,3.0,1.0,1.0,,3.0,24.0,,,2.0,3.0,1.0,86.0
22,"Otten, Andy",6,6,24,30,,1.0,,,2.0,2.0,,2.0,1.0,,,4.0,27.0,,,5.0,6.0,,94.0
40,"Porplyzia, Jason",9,2,4,13,6,1.0,,4.0,,1.0,,1.0,,1.0,1.0,9.0,4.0,1.0,2.0,1.0,,1.0,90.0
3,"Reilly, Brent",10,4,13,23,,1.0,,5.0,1.0,2.0,1.0,2.0,1.0,1.0,,4.0,19.0,,,,,,74.0
25,"Rutten, Ben",9,6,9,18,1,,,3.0,3.0,1.0,,1.0,1.0,1.0,,3.0,15.0,1.0,,5.0,,,100.0
29,"Sellar, James",2,2,9,11,,,3.0,2.0,,1.0,,2.0,,1.0,,1.0,10.0,,,4.0,,,59.0
12,"Shirley, Robert",1,,9,10,,,2.0,3.0,,,,1.0,,1.0,,2.0,8.0,,,1.0,,,42.0
27,"Stevens, Scott",11,8,11,22,,,,1.0,3.0,2.0,,,,,,1.0,21.0,,,4.0,3.0,1.0,100.0
15,"Symes, Brad",7,4,20,27,,,1.0,7.0,3.0,2.0,1.0,2.0,,1.0,,8.0,19.0,,,,,,77.0
5,"Thompson, Scott",13,9,13,26,2,1.0,,5.0,,5.0,2.0,1.0,2.0,,,6.0,20.0,1.0,1.0,,,,67.0
4,"Tippett, Kurt",5,1,4,9,1,1.0,8.0,1.0,,1.0,1.0,3.0,2.0,3.0,,6.0,3.0,,1.0,3.0,,2.0,88.0
7,"van Berlo, Nathan",5,2,26,31,,1.0,,5.0,2.0,2.0,4.0,1.0,1.0,1.0,,13.0,19.0,,,1.0,,,88.0
17,"Vince, Bernie",15,4,19,34,,,,6.0,,3.0,8.0,2.0,,1.0,,13.0,20.0,1.0,,2.0,,,72.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,95,297,493,18,14.0,29.0,73.0,21.0,57.0,31.0,32.0,17.0,17.0,6.0,122.0,374.0,12.0,12.0,47.0,25.0,12.0,
Opposition,Opposition,197,117,161,358,7,6.0,36.0,46.0,34.0,32.0,37.0,41.0,16.0,17.0,,123.0,232.0,15.0,6.0,32.0,10.0,5.0,
