Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",25y 228d,95 (60-0-35 63.16%),143 (1.51),57 (42-0-15 73.68%),88 (1.54)
11,"Archer, Glenn",27y 51d,170 (114-0-56 67.06%),103 (0.61),←,
26,"Bell, Peter",24y 74d,110 (76-0-34 69.09%),105 (0.95),108 (76-0-32 70.37%),103 (0.95)
12,"Blakey, John",33y 295d,309 (168-0-141 54.37%),99 (0.32),174 (116-0-58 66.67%),61 (0.35)
22,"Burton, Matthew",29y 361d,78 (27-0-51 34.62%),37 (0.47),8 (5-0-3 62.50%),5 (0.63)
17,"Calthorpe, David",26y 271d,109 (64-2-43 59.63%),69 (0.63),8 (6-0-2 75.00%),9 (1.13)
18,"Carey, Wayne",28y 353d,215 (137-0-78 63.72%),592 (2.75),←,
23,"Clayton, Shane",21y 203d,53 (29-0-24 54.72%),16 (0.30),35 (27-0-8 77.14%),15 (0.43)
19,"Dhurrkay, Gary",26y 71d,71 (34-0-37 47.89%),66 (0.93),20 (14-0-6 70.00%),20 (1.00)
6,"Grant, Shannon",23y 25d,117 (76-1-40 65.38%),136 (1.16),59 (44-0-15 74.58%),98 (1.66)
29,"Harvey, Brent",22y,74 (53-0-21 71.62%),86 (1.16),←,
34,"King, David",28y 68d,142 (97-0-45 68.31%),56 (0.39),←,
27,"Lange, Adam",21y 123d,15 (10-0-5 66.67%),12 (0.80),←,
35,"Makepeace, Troy",21y 69d,7 (6-0-1 85.71%),3 (0.43),←,
4,"Martyn, Mick",31y 257d,249 (150-1-98 60.44%),14 (0.06),←,
5,"McCartney, Jason",26y 61d,131 (75-0-56 57.25%),52 (0.40),56 (41-0-15 73.21%),4 (0.07)
31,"McKernan, Corey",26y 147d,147 (103-0-44 70.07%),174 (1.18),←,
44,"Motlop, Shannon",21y 270d,15 (12-0-3 80.00%),12 (0.80),←,
28,"Pickett, Byron",22y 277d,61 (45-0-16 73.77%),2 (0.03),←,
13,"Pike, Martin",27y 182d,130 (64-0-66 49.23%),58 (0.45),70 (52-0-18 74.29%),18 (0.26)
24,"Sholl, Craig",32y 136d,227 (138-0-89 60.79%),152 (0.67),←,
7,"Simpson, Adam",24y 88d,100 (74-0-26 74.00%),37 (0.37),←,
Totals,Totals,26y 15d,2625 (1612-4-1009 61.41%),2024 (0.77),,
C,"Pagan, Denis",52y 233d,180 (121-0-59 67.22%),,←,
