Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Bishop, Matthew",8,4,2,10,,,,2.0,3.0,1.0,,,,,,4.0,6.0,1.0,,3.0,2.0,1.0,100.0
20,"Brogan, Dean",2,1,5,7,,,20.0,2.0,1.0,2.0,2.0,5.0,1.0,4.0,,4.0,3.0,,,2.0,,,83.0
8,"Burgoyne, Shaun",8,3,4,12,5,1.0,,1.0,,1.0,,1.0,2.0,,1.0,9.0,3.0,1.0,3.0,,,,100.0
9,"Carr, Josh",13,1,6,19,,2.0,2.0,3.0,1.0,2.0,4.0,,1.0,,,5.0,12.0,,,,2.0,,82.0
25,"Cassisi, Domenic",8,1,2,10,,,,2.0,1.0,3.0,,3.0,1.0,1.0,,5.0,6.0,,,1.0,,,53.0
26,"Cochrane, Stuart",6,3,3,9,1,,,2.0,,2.0,1.0,2.0,1.0,1.0,,3.0,5.0,,,1.0,,,93.0
35,"Cornes, Chad",14,6,3,17,3,2.0,1.0,2.0,,5.0,1.0,3.0,,1.0,,9.0,7.0,2.0,1.0,2.0,,,100.0
18,"Cornes, Kane",18,3,7,25,1,,,2.0,2.0,5.0,11.0,3.0,1.0,1.0,,16.0,6.0,,1.0,1.0,,,100.0
34,"Guerra, Brent",12,5,5,17,1,,,5.0,,6.0,,6.0,1.0,2.0,,8.0,9.0,,,1.0,,,82.0
13,"Hall, Christopher",2,1,1,3,,,,,,,1.0,2.0,,1.0,,3.0,,1.0,,2.0,,,33.0
11,"Hardwick, Damien",4,1,2,6,,,,1.0,3.0,,1.0,,1.0,,,3.0,3.0,,,2.0,,,51.0
38,"James, Roger",15,4,12,27,1,,,6.0,,5.0,7.0,2.0,1.0,1.0,2.0,10.0,13.0,,,,,1.0,88.0
3,"Montgomery, Brett",8,5,6,14,,,,,,1.0,1.0,2.0,,1.0,,1.0,11.0,,,1.0,2.0,,93.0
14,"Paxman, Stephen",7,4,2,9,,,,,2.0,2.0,,1.0,1.0,1.0,,3.0,7.0,,,2.0,,,100.0
15,"Pickett, Byron",6,1,4,10,1,1.0,,4.0,,2.0,2.0,4.0,1.0,1.0,,5.0,5.0,,,2.0,1.0,,83.0
27,"Poulton, Jared",10,4,3,13,,,1.0,1.0,4.0,,,1.0,1.0,,,6.0,7.0,1.0,,2.0,,,91.0
1,"Primus, Matthew",4,1,2,6,,,17.0,2.0,1.0,1.0,,4.0,,4.0,,4.0,2.0,,,,,,47.0
31,"Salopek, Steven",7,2,3,10,1,3.0,,1.0,,1.0,1.0,2.0,1.0,,,3.0,5.0,,1.0,2.0,,,64.0
6,"Schofield, Jarrad",11,2,3,14,3,,,,,4.0,3.0,,,,,8.0,6.0,,1.0,4.0,,3.0,55.0
36,"Stevens, Nick",19,3,8,27,,3.0,,3.0,1.0,7.0,5.0,2.0,1.0,,3.0,12.0,15.0,,,4.0,3.0,1.0,100.0
28,"Thurstans, Toby",6,1,4,10,1,,4.0,2.0,,1.0,4.0,1.0,3.0,1.0,,7.0,3.0,1.0,,2.0,,,100.0
4,"Wanganeen, Gavin",11,6,6,17,1,1.0,,1.0,4.0,2.0,2.0,3.0,1.0,2.0,,5.0,11.0,,1.0,2.0,1.0,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,62,93,292,19,14.0,45.0,42.0,23.0,53.0,46.0,47.0,19.0,22.0,6.0,133.0,145.0,7.0,8.0,36.0,11.0,6.0,
Opposition,Opposition,185,68,94,279,11,5.0,33.0,47.0,28.0,36.0,46.0,57.0,22.0,19.0,,121.0,147.0,8.0,5.0,38.0,5.0,6.0,
