Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",25y 246d,45 (30-0-15 66.67%),9 (0.20),←,
24,"Bews, Jed",27y 159d,113 (67-2-44 60.18%),14 (0.12),←,
46,"Blicavs, Mark",30y 55d,189 (125-2-62 66.67%),42 (0.22),←,
5,"Cameron, Jeremy",28y 51d,176 (81-3-92 46.88%),443 (2.52),5 (4-0-1 80.00%),16 (3.20)
45,"Close, Brad",22y 296d,15 (11-0-4 73.33%),10 (0.67),←,
40,"Dahlhaus, Luke",28y 274d,203 (103-0-100 50.74%),134 (0.66),49 (33-0-16 67.35%),24 (0.49)
22,"Duncan, Mitch",29y 346d,231 (165-1-65 71.65%),166 (0.72),←,
29,"Guthrie, Cameron",28y 276d,192 (126-2-64 66.15%),61 (0.32),←,
39,"Guthrie, Zach",22y 326d,27 (15-1-11 57.41%),2 (0.07),←,
26,"Hawkins, Tom",32y 305d,287 (204-2-81 71.43%),625 (2.18),←,
25,"Henderson, Lachie",31y 159d,195 (102-2-91 52.82%),116 (0.59),78 (52-1-25 67.31%),12 (0.15)
38,"Henry, Jack",22y 266d,75 (49-0-26 65.33%),14 (0.19),←,
4,"Higgins, Shaun",33y 79d,243 (113-1-129 46.71%),226 (0.93),6 (5-0-1 83.33%),2 (0.33)
8,"Kolodjashnij, Jake",25y 286d,117 (76-2-39 65.81%),,←,
27,"Menegola, Sam",29y 76d,94 (60-1-33 64.36%),70 (0.74),←,
19,"Narkle, Quinton",23y 170d,22 (12-0-10 54.55%),11 (0.50),←,
3,"Parfitt, Brandan",23y 25d,81 (57-0-24 70.37%),36 (0.44),←,
17,"Ratugolea, Esava",22y 302d,43 (30-0-13 69.77%),27 (0.63),←,
23,"Rohan, Gary",29y 349d,152 (102-1-49 67.43%),160 (1.05),46 (32-0-14 69.57%),64 (1.39)
14,"Selwood, Joel",32y 361d,320 (233-1-86 72.97%),164 (0.51),←,
7,"Smith, Isaac",32y 143d,220 (151-1-68 68.86%),172 (0.78),10 (7-0-3 70.00%),7 (0.70)
44,"Stewart, Tom",28y 68d,96 (63-0-33 65.63%),3 (0.03),←,
2,"Tuohy, Zach",31y 163d,214 (107-2-105 50.47%),72 (0.34),94 (59-1-34 63.30%),32 (0.34)
Totals,Totals,28y 1d,3350 (2082-24-1244 62.15%),2577 (0.77),,
C,"Scott, Chris",45y 19d,246 (169-2-75 69.11%),,←,
