Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
14,"Calthorpe, David",16,4.0,4,20,,1.0,,1.0,,,,,2.0,1.0,1.0,,,,,,,,
9,"Cockatoo-Collins, Che",3,2.0,2,5,,,,,,,,,1.0,,,,,,,,,,
36,"Cummings, Scott",10,7.0,1,11,3.0,4.0,,,,,,,,3.0,,,,,,,,,
7,"Daniher, Chris",11,7.0,8,19,1.0,1.0,,1.0,,,,,2.0,,,,,,,,,,
20,"Darcy, Tim",8,4.0,8,16,2.0,,,,,,,,1.0,2.0,,,,,,,,,
38,"Denham, Sean",17,6.0,12,29,1.0,2.0,,3.0,,,,,,2.0,,,,,,,,,
22,"Doolan, Ben",4,3.0,3,7,,1.0,1.0,,,,,,,1.0,,,,,,,,,
31,"Fletcher, Dustin",18,8.0,2,20,,,,2.0,,,,,1.0,,,,,,,,,,
29,"Grenvold, David",11,5.0,3,14,1.0,1.0,,,,,,,,2.0,,,,,,,,,
39,"Hardwick, Damien",4,4.0,8,12,,,,2.0,,,,,1.0,1.0,,,,,,,,,
1,"Harvey, Mark",10,4.0,4,14,,,,1.0,,,,,,2.0,,,,,,,,,
5,"Hird, James",10,9.0,15,25,1.0,,,,,,,,,,,,,,,,,,
13,"Long, Michael",17,4.0,8,25,4.0,1.0,,1.0,,,,,1.0,,,,,,,,,,
2,"Mercuri, Mark",15,7.0,9,24,3.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
24,"Misiti, Joe",12,6.0,12,24,2.0,,,2.0,,,,,,,,,,,,,,,
41,"OConnor, Ryan",1,,1,2,,,,,,,,,,1.0,,,,,,,,,
10,"ODonnell, Gary",16,4.0,7,23,,,,1.0,,,,,3.0,1.0,,,,,,,,,
15,"Prior, Michael",7,3.0,4,11,,,,1.0,,,,,1.0,,,,,,,,,,
19,"Somerville, Peter",7,5.0,7,14,1.0,1.0,23.0,,,,,,,4.0,,,,,,,,,
4,"Wanganeen, Gavin",17,8.0,2,19,,,,1.0,,,,,,,3.0,,,,,,,,
35,"Young, Barry",11,5.0,3,14,4.0,,,1.0,,,,,1.0,,,,,,,,,,
Totals,Totals,225,105.0,123,348,23.0,13.0,24.0,18.0,,,,,15.0,21.0,4.0,,,,,,,,
Opposition,Opposition,160,62.0,61,221,10.0,15.0,8.0,19.0,,,,,21.0,15.0,2.0,,,,,,,,
