Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
16 ↑,"Allan, Edward",3,,4,7,,,,,,,2.0,1.0,,,,2.0,4.0,,,,,,13.0
14,"Cameron, Darcy",9,2,5,14,,,29.0,1.0,,2.0,3.0,3.0,4.0,1.0,,7.0,7.0,,,2.0,,1.0,76.0
46,"Cox, Mason",4,2,4,8,,2.0,8.0,1.0,,,2.0,2.0,4.0,2.0,,6.0,2.0,1.0,,5.0,,,77.0
25,"Crisp, Jack",12,4,8,20,,,,,2.0,4.0,1.0,6.0,1.0,1.0,,6.0,12.0,,1.0,2.0,1.0,2.0,85.0
7,"Daicos, Josh",17,5,13,30,1,,,,4.0,3.0,1.0,1.0,,1.0,,4.0,21.0,,,,,,85.0
35,"Daicos, Nick",21,6,17,38,1,,,3.0,3.0,6.0,8.0,4.0,1.0,1.0,3.0,10.0,27.0,,,1.0,2.0,2.0,84.0
2,"de Goey, Jordan",9,1,3,12,2,1.0,,1.0,,2.0,1.0,2.0,2.0,,,1.0,10.0,,1.0,,,,75.0
5,"Elliott, Jamie",8,7,5,13,2,3.0,,1.0,,1.0,,1.0,1.0,,,4.0,10.0,1.0,3.0,1.0,,,84.0
17,"Frampton, Billy",4,2,1,5,,,,,1.0,1.0,,1.0,,1.0,,,4.0,,,3.0,,,91.0
23,"Hill, Bobby",5,1,3,8,2,,,1.0,,1.0,,2.0,,1.0,,5.0,3.0,,,1.0,2.0,,81.0
32,"Hoskin-Elliott, Will",6,7,3,9,1,1.0,,2.0,,,,,,,,2.0,7.0,,3.0,1.0,,,71.0
38,"Howe, Jeremy",13,7,3,16,,,,,7.0,,,2.0,,2.0,,3.0,10.0,1.0,,6.0,,,96.0
1,"Lipinski, Patrick",8,7,10,18,,,,1.0,1.0,2.0,4.0,2.0,1.0,1.0,,7.0,11.0,,,1.0,,,84.0
44,"Long, Ned",6,2,15,21,1,,,6.0,1.0,3.0,5.0,3.0,,1.0,,7.0,15.0,,1.0,4.0,,,82.0
4,"Maynard, Brayden",11,5,4,15,,,,1.0,3.0,,1.0,2.0,4.0,1.0,,5.0,10.0,,,4.0,,,84.0
31,"McCreery, Beau",5,3,6,11,1,,,1.0,,6.0,,2.0,,2.0,,1.0,10.0,,,,2.0,2.0,86.0
11,"McStay, Daniel",5,3,3,8,3,1.0,,1.0,,,,,2.0,,1.0,5.0,3.0,2.0,3.0,1.0,,1.0,79.0
41,"Mihocek, Brody",8,6,2,10,2,,,3.0,,6.0,,3.0,,2.0,,2.0,8.0,1.0,1.0,,,,83.0
30 ↓,"Moore, Darcy",1,2,3,4,,,,1.0,,,,1.0,,1.0,,1.0,3.0,,,6.0,,,75.0
10,"Pendlebury, Scott",11,2,10,21,,,,4.0,,5.0,5.0,3.0,2.0,1.0,,8.0,12.0,,,,,2.0,72.0
12,"Perryman, Harry",7,2,2,9,,,,2.0,4.0,1.0,1.0,4.0,,2.0,,2.0,7.0,,,1.0,,,78.0
3,"Quaynor, Isaac",5,3,5,10,,,,2.0,2.0,1.0,,1.0,1.0,1.0,,4.0,6.0,,,,,1.0,82.0
22,"Sidebottom, Steele",17,7,9,26,,,,1.0,1.0,7.0,2.0,4.0,1.0,,2.0,8.0,17.0,,,1.0,,,78.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,195,86,138,333,16,9.0,37.0,33.0,29.0,51.0,36.0,50.0,24.0,22.0,6.0,100.0,219.0,6.0,13.0,40.0,7.0,11.0,
Opposition,Opposition,220,116,107,327,7,11.0,18.0,28.0,35.0,37.0,26.0,57.0,22.0,24.0,,99.0,217.0,12.0,12.0,42.0,4.0,6.0,
