Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Athorn, Mark",12,3,4,16,1,,,3.0,,,,,2.0,,,,,,,,,,
30,"Bayes, Mark",15,6,4,19,2,3.0,,1.0,,,,,,1.0,,,,,,,,,
16,"Bolton, David",12,,10,22,,1.0,,2.0,,,,,,,,,,,,,,,
7,"Carroll, Dennis",15,6,6,21,,,,,,,,,,2.0,,,,,,,,,
56,"Clarkson, Justin",5,1,3,8,,1.0,,1.0,,,,,,1.0,,,,,,,,,
29,"Cordy, Neil",1,7,10,11,,,,1.0,,,,,1.0,2.0,,,,,,,,,
47,"Higgins, Leon",13,2,3,16,,,,2.0,,,,,1.0,,,,,,,,,,
14,"Kelly, Paul",13,2,7,20,1,,,,,,,,2.0,4.0,,,,,,,,,
39,"Kerr, Robert",2,2,1,3,,,,,,,,,,1.0,,,,,,,,,
37,"Lawson, Jamie",4,,4,8,1,,,1.0,,,,,3.0,2.0,,,,,,,,,
3,"Lewis, Dale",11,3,1,12,1,,1.0,4.0,,,,,1.0,3.0,,,,,,,,,
32,"Love, Jason",5,2,3,8,2,,,1.0,,,,,,1.0,,,,,,,,,
10,"Mitchell, Barry",17,2,8,25,,2.0,,1.0,,,,,,3.0,,,,,,,,,
35,"Murphy, David",4,,8,12,,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
40,"Nettelbeck, Craig",11,10,8,19,3,1.0,,1.0,,,,,,3.0,,,,,,,,,
15,"Toohey, Bernard",11,2,5,16,,,,2.0,,,,,1.0,3.0,,,,,,,,,
48,"Tunbridge, Brad",6,2,5,11,,,13.0,2.0,,,,,4.0,5.0,,,,,,,,,
20,"West, Jim",3,4,6,9,1,1.0,,2.0,,,,,,1.0,,,,,,,,,
2,"Williams, Greg",4,,7,11,,,,1.0,,,,,1.0,1.0,,,,,,,,,
26,"Wright, Stephen",13,3,6,19,,,,2.0,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,177,57,109,286,12,12.0,14.0,28.0,,,,,19.0,36.0,,,,,,,,,
Opposition,Opposition,218,86,144,362,22,19.0,18.0,22.0,,,,,36.0,19.0,6.0,,,,,,,,
