Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
4,"Bontempelli, Marcus",25y 284d,169 (94-0-75 55.62%),152 (0.90),←,
31,"Dale, Bailey",25y 44d,83 (46-0-37 55.42%),69 (0.83),←,
35,"Daniel, Caleb",25y 59d,132 (73-0-59 55.30%),37 (0.28),←,
5,"Dunkley, Josh",24y 238d,91 (52-0-39 57.14%),47 (0.52),←,
15,"Duryea, Taylor",30y 133d,158 (109-1-48 69.30%),24 (0.15),40 (27-0-13 67.50%),3 (0.08)
44,"English, Tim",24y 25d,67 (38-0-29 56.72%),36 (0.54),←,
43,"Gardner, Ryan",24y 95d,20 (13-0-7 65.00%),2 (0.10),←,
29,"Hannan, Mitch",27y 179d,65 (38-0-27 58.46%),66 (1.02),15 (10-0-5 66.67%),11 (0.73)
7,"Hunter, Lachie",26y 265d,161 (87-0-74 54.04%),70 (0.43),←,
39,"Johannisen, Jason",28y 300d,166 (85-0-81 51.20%),60 (0.36),←,
42,"Keath, Alex",29y 227d,70 (42-1-27 60.71%),2 (0.03),40 (26-0-14 65.00%),1 (0.03)
21,"Liberatore, Tom",29y 111d,171 (82-0-89 47.95%),64 (0.37),←,
11,"Macrae, Jack",27y 32d,183 (98-0-85 53.55%),43 (0.23),←,
33,"Naughton, Aaron",21y 278d,76 (44-0-32 57.89%),93 (1.22),←,
13,"Schache, Josh",24y 14d,63 (20-0-43 31.75%),72 (1.14),36 (17-0-19 47.22%),47 (1.31)
6,"Smith, Bailey",20y 271d,65 (39-0-26 60.00%),30 (0.46),←,
37,"Smith, Roarke",24y 358d,35 (18-0-17 51.43%),7 (0.20),←,
1,"Treloar, Adam",28y 179d,188 (81-1-106 43.35%),106 (0.56),15 (11-0-4 73.33%),9 (0.60)
23,"Vandermeer, Laitham",22y 213d,21 (13-0-8 61.90%),14 (0.67),←,
19,"Weightman, Cody",20y 232d,18 (12-0-6 66.67%),29 (1.61),←,
34,"Williams, Bailey",23y 329d,80 (44-0-36 55.00%),11 (0.14),←,
10,"Wood, Easton",32y,186 (98-0-88 52.69%),20 (0.11),←,
2,"Young, Lewis",22y 258d,24 (15-0-9 62.50%),1 (0.04),←,
Totals,Totals,25y 243d,2292 (1241-3-1048 54.14%),1055 (0.46),,
C,"Beveridge, Luke",51y 12d,158 (91-0-67 57.59%),,←,
