Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
42,"Bevan, Paul",26y 271d,128 (69-3-56 55.08%),38 (0.30),←,
14,"Bird, Craig",22y 155d,52 (26-1-25 50.96%),17 (0.33),←,
24,"Bolton, Jude",31y 102d,270 (145-4-121 54.44%),136 (0.50),←,
13,"Everitt, Andrejs",22y 104d,46 (27-2-17 60.87%),16 (0.35),10 (5-1-4 55.00%),8 (0.80)
37,"Goodes, Adam",31y 168d,289 (156-4-129 54.67%),330 (1.14),←,
39,"Grundy, Heath",25y 23d,82 (44-1-37 54.27%),18 (0.22),←,
4,"Hannebery, Dan",20y 121d,41 (22-1-18 54.88%),12 (0.29),←,
15,"Jack, Kieren",23y 362d,79 (38-2-39 49.37%),49 (0.62),←,
23,"Johnston, Lewis",20y 114d,2 (1-0-1 50.00%),1 (0.50),←,
12,"Kennedy, Josh",23y 5d,50 (26-1-23 53.00%),20 (0.40),37 (21-1-15 58.11%),16 (0.43)
17,"Kennelly, Tadhg",29y 359d,187 (115-1-71 61.76%),29 (0.16),←,
9,"Malceski, Nick",26y 314d,98 (61-1-36 62.76%),45 (0.46),←,
29,"Mattner, Martin",28y 323d,180 (101-2-77 56.67%),39 (0.22),82 (41-2-39 51.22%),25 (0.30)
21,"McGlynn, Ben",25y 323d,71 (38-1-32 54.23%),73 (1.03),27 (15-1-11 57.41%),45 (1.67)
3,"McVeigh, Jarrad",26y 79d,160 (90-3-67 57.19%),115 (0.72),←,
5,"OKeefe, Ryan",30y 152d,222 (123-3-96 56.08%),216 (0.97),←,
20,"Reid, Sam",19y 180d,14 (8-1-5 60.71%),9 (0.64),←,
30,"Roberts-Thomson, Lewis",27y 290d,140 (80-1-59 57.50%),20 (0.14),←,
1,"Seaby, Mark",27y 55d,114 (70-1-43 61.84%),68 (0.60),12 (8-1-3 70.83%),4 (0.33)
2,"Shaw, Rhyce",29y 252d,152 (76-1-75 50.33%),39 (0.26),58 (28-1-29 49.14%),19 (0.33)
40,"Smith, Nick",23y 13d,42 (19-1-22 46.43%),8 (0.19),←,
18,"White, Jesse",23y 167d,46 (21-2-23 47.83%),49 (1.07),←,
Totals,Totals,25y 262d,2465 (1356-37-1072 55.01%),1347 (0.55),,
C,"Longmire, John",40y 176d,13 (7-1-5 57.69%),,←,
