Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Allan, Matthew",8,6,6,14,,1.0,19.0,,2.0,3.0,1.0,4.0,,,,4,9,,,1.0,,,
29,"Beaumont, Simon",12,8,3,15,1.0,,,,4.0,4.0,,1.0,,,,4,11,1.0,,,,,
21,"Bradley, Craig",15,4,8,23,1.0,,,5.0,1.0,7.0,3.0,,,1.0,,3,19,,1.0,5.0,5.0,,
20,"Brown, Fraser",14,2,10,24,,1.0,,1.0,,5.0,5.0,4.0,,2.0,,9,13,,,1.0,,,
16,"Camporeale, Scott",17,3,5,22,,,,1.0,1.0,6.0,2.0,,1.0,3.0,,5,18,,,2.0,,,
25,"Fevola, Brendan",3,2,1,4,2.0,,,2.0,,,1.0,,,,,2,2,,2.0,1.0,,,
31,"Fletcher, Simon",8,4,6,14,1.0,2.0,,,,2.0,1.0,4.0,1.0,,,4,12,,2.0,1.0,1.0,,
45,"Franchina, Anthony",14,4,3,17,1.0,,,,2.0,2.0,,2.0,1.0,,,6,10,1.0,1.0,,,,
17,"Freeborn, Scott",3,1,4,7,,1.0,,3.0,1.0,1.0,1.0,4.0,,2.0,,3,4,,1.0,3.0,,,
4,"Hamill, Aaron",14,10,7,21,1.0,,,2.0,1.0,4.0,4.0,4.0,4.0,2.0,,11,12,,2.0,,,,
37,"Hotton, Trent",8,5,6,14,,,1.0,2.0,2.0,1.0,,3.0,,1.0,,5,8,1.0,,1.0,,,
43,"Koutoufides, Anthony",21,9,12,33,1.0,,,1.0,5.0,5.0,5.0,3.0,3.0,,,17,14,4.0,1.0,,,,
12,"Lappin, Matthew",13,2,6,19,2.0,1.0,,1.0,1.0,3.0,,5.0,,1.0,,8,11,,,1.0,1.0,,
10,"Mansfield, Michael",4,3,3,7,,,,2.0,3.0,1.0,,1.0,,1.0,,1,6,,,3.0,,,
22,"Manton, Glenn",2,1,3,5,,,,2.0,1.0,,,,1.0,,,2,3,,,2.0,,,
3,"Massie, Kris",4,3,2,6,,,,1.0,1.0,1.0,,,1.0,1.0,,2,3,,,2.0,,,
5,"McKay, Andrew",6,3,7,13,,,,2.0,1.0,,1.0,4.0,2.0,3.0,,6,6,,,3.0,,,
26,"OReilly, Stephen",2,1,4,6,,,1.0,1.0,1.0,,,3.0,,1.0,,2,4,,,1.0,,,
7,"Ratten, Brett",16,4,16,32,1.0,1.0,,2.0,1.0,5.0,6.0,2.0,3.0,,,16,15,,1.0,4.0,1.0,,
23,"Rice, Dean",10,2,1,11,,,,1.0,3.0,,1.0,4.0,1.0,,,3,7,,,1.0,,,
1,"Silvagni, Stephen",5,1,3,8,,,,,1.0,,,3.0,1.0,3.0,,5,3,,1.0,1.0,1.0,,
8,"Whitnall, Lance",25,18,3,28,4.0,2.0,1.0,,,9.0,2.0,3.0,2.0,1.0,1.0,8,22,2.0,11.0,1.0,,,
Totals,Totals,224,96,119,343,15.0,9.0,22.0,29.0,32.0,59.0,33.0,54.0,21.0,22.0,1.0,126,212,9.0,23.0,34.0,9.0,,
Opposition,Opposition,224,93,115,339,18.0,15.0,32.0,29.0,39.0,59.0,39.0,43.0,22.0,21.0,5.0,148,186,20.0,17.0,39.0,17.0,,
