Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11 ↑,"Blair, Jarryd",2,1,2,4,,,,,,1.0,,2.0,,1.0,,1.0,4.0,,,,,,35.0
16,"Brown, Nathan",6,2,6,12,,,,2.0,5.0,1.0,,2.0,1.0,1.0,,3.0,8.0,,,8.0,,,89.0
25,"Crisp, Jack",8,3,7,15,,,,4.0,2.0,1.0,1.0,3.0,2.0,1.0,,7.0,8.0,,,1.0,,,89.0
35,"de Goey, Jordan",7,1,11,18,,,,5.0,1.0,6.0,3.0,2.0,2.0,2.0,,11.0,9.0,,,2.0,,,82.0
1,"Fasolo, Alex",1,1,8,9,,,,3.0,,,,3.0,,1.0,,4.0,5.0,,1.0,1.0,,,85.0
45,"Frost, Jack",8,5,4,12,,,,4.0,3.0,,,1.0,,,,5.0,7.0,1.0,,4.0,,,82.0
6,"Goldsack, Tyson",9,4,4,13,,,,1.0,1.0,1.0,,,1.0,,,3.0,8.0,,,5.0,,,78.0
19,"Greenwood, Levi",14,4,4,18,1,,,1.0,4.0,3.0,3.0,5.0,2.0,3.0,,8.0,10.0,,2.0,1.0,,1.0,84.0
4,"Grundy, Brodie",12,6,8,20,2,1.0,17.0,3.0,1.0,6.0,3.0,3.0,3.0,1.0,,8.0,11.0,3.0,1.0,,,,86.0
7,"Kennedy, Ben",6,3,6,12,,,,5.0,,1.0,1.0,5.0,1.0,2.0,,5.0,9.0,,1.0,,,2.0,83.0
8,"Langdon, Tom",9,8,13,22,,,,2.0,6.0,,1.0,1.0,,1.0,,9.0,12.0,2.0,1.0,5.0,,,95.0
37,"Maynard, Brayden",11,2,5,16,,,,1.0,4.0,2.0,,3.0,2.0,1.0,,7.0,9.0,,,2.0,,,82.0
30,"Moore, Darcy",7,4,2,9,5,,,2.0,,2.0,,1.0,2.0,1.0,,6.0,3.0,3.0,2.0,,,,85.0
43 ↓,"Oxley, Adam",3,2,5,8,,,,3.0,1.0,,1.0,4.0,1.0,,,2.0,6.0,,,,1.0,,49.0
10,"Pendlebury, Scott",15,4,14,29,1,1.0,1.0,5.0,3.0,3.0,3.0,4.0,,,,8.0,21.0,,,,,,88.0
22,"Sidebottom, Steele",21,8,12,33,1,,,3.0,1.0,1.0,4.0,1.0,1.0,,2.0,5.0,28.0,,,1.0,,1.0,87.0
36,"Swan, Dane",13,6,20,33,,1.0,,3.0,,7.0,9.0,1.0,1.0,,,17.0,15.0,,,,,3.0,86.0
34,"Toovey, Alan",8,2,8,16,,,,5.0,2.0,2.0,,,1.0,,,4.0,11.0,,,4.0,1.0,,94.0
18,"Varcoe, Travis",12,4,3,15,1,1.0,,5.0,2.0,5.0,1.0,3.0,1.0,,,4.0,10.0,,,1.0,,2.0,91.0
9,"White, Jesse",6,2,3,9,2,2.0,,2.0,,2.0,1.0,3.0,1.0,3.0,,4.0,6.0,,1.0,1.0,,1.0,83.0
26,"Williams, Marley",11,5,13,24,,,,1.0,1.0,1.0,4.0,3.0,,1.0,,10.0,14.0,1.0,,2.0,1.0,,85.0
15,"Witts, Jarrod",3,4,6,9,,1.0,19.0,6.0,1.0,1.0,1.0,5.0,1.0,3.0,,6.0,4.0,1.0,,3.0,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,81,164,356,13,8.0,37.0,66.0,38.0,46.0,36.0,55.0,23.0,22.0,2.0,137.0,218.0,11.0,9.0,41.0,3.0,10.0,
Opposition,Opposition,232,122,220,452,15,14.0,34.0,43.0,33.0,60.0,34.0,47.0,22.0,23.0,4.0,148.0,310.0,12.0,18.0,45.0,5.0,10.0,
