Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Cameron, Jeremy",17,9,7,24,2,4.0,,3.0,,5.0,1.0,,3.0,,1.0,10.0,12.0,1.0,4.0,2.0,,1.0,85.0
35,"Corr, Aidan",3,3,5,8,,,,1.0,1.0,,,1.0,,1.0,,2.0,6.0,,,9.0,,,86.0
1,"Davis, Phil",4,5,6,10,,,,3.0,1.0,2.0,,2.0,1.0,1.0,,2.0,9.0,,,14.0,,,88.0
4,"Greene, Toby",12,2,4,16,4,1.0,,4.0,,1.0,3.0,6.0,1.0,5.0,,10.0,6.0,2.0,,,,1.0,87.0
19,"Haynes, Nick",20,11,4,24,,,,1.0,2.0,1.0,1.0,2.0,2.0,,,6.0,17.0,,,2.0,,,84.0
2,"Hopper, Jacob",7,2,9,16,,,,8.0,2.0,3.0,3.0,4.0,,2.0,,7.0,9.0,,,1.0,,1.0,72.0
17,"Johnson, Steve",13,6,6,19,1,2.0,,2.0,,3.0,2.0,7.0,,3.0,,6.0,14.0,,2.0,1.0,,1.0,80.0
22,"Kelly, Josh",12,2,9,21,,,,6.0,2.0,3.0,5.0,3.0,1.0,1.0,,10.0,12.0,,,1.0,1.0,,75.0
40,"Kennedy, Adam",9,6,5,14,,,,1.0,2.0,3.0,4.0,1.0,1.0,,,5.0,11.0,,,2.0,2.0,,74.0
15,"Kennedy, Matthew",9,5,8,17,,1.0,,8.0,1.0,1.0,3.0,2.0,1.0,1.0,,8.0,10.0,,,,,,66.0
37,"Lobb, Rory",6,4,8,14,1,1.0,5.0,1.0,,2.0,,1.0,,,,4.0,10.0,2.0,1.0,1.0,,,85.0
41,"Mumford, Shane",3,1,8,11,,,62.0,4.0,,5.0,2.0,3.0,2.0,2.0,2.0,8.0,4.0,,,1.0,,2.0,88.0
12,"Patton, Jonathon",5,6,7,12,1,,,2.0,,1.0,,1.0,,,,5.0,7.0,2.0,1.0,,,,83.0
50,"Reid, Sam",6,5,9,15,1,,,4.0,,3.0,,2.0,,2.0,,6.0,10.0,1.0,2.0,,,,77.0
9,"Scully, Tom",11,3,12,23,,,,6.0,3.0,6.0,4.0,3.0,1.0,,,8.0,15.0,,,2.0,,2.0,95.0
23,"Shaw, Heath",15,6,6,21,,,,1.0,6.0,2.0,,,2.0,,,5.0,18.0,,,4.0,,1.0,94.0
5,"Shiel, Dylan",13,4,8,21,,,,2.0,1.0,2.0,7.0,3.0,,1.0,,11.0,11.0,,,1.0,,,78.0
10,"Smith, Devon",14,4,6,20,2,,,2.0,,3.0,4.0,,1.0,,,8.0,11.0,,1.0,2.0,1.0,,80.0
20,"Tomlinson, Adam",13,8,2,15,1,,,1.0,5.0,1.0,,2.0,1.0,2.0,,1.0,14.0,,,2.0,,,95.0
8,"Ward, Callan",12,3,15,27,1,1.0,,1.0,1.0,3.0,3.0,5.0,,3.0,3.0,13.0,16.0,1.0,,,1.0,2.0,81.0
29,"Williams, Zac",11,4,12,23,1,1.0,,4.0,,3.0,1.0,1.0,,,,5.0,17.0,1.0,,,,1.0,73.0
16,"Wilson, Nathan",11,7,4,15,,1.0,,2.0,3.0,3.0,,4.0,,2.0,,2.0,12.0,,,1.0,4.0,,73.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,226,106,160,386,15,15.0,67.0,67.0,30.0,56.0,43.0,53.0,17.0,26.0,6.0,142.0,251.0,10.0,11.0,46.0,9.0,12.0,
Opposition,Opposition,183,86,143,326,9,9.0,29.0,65.0,40.0,41.0,26.0,44.0,25.0,17.0,,108.0,212.0,5.0,10.0,34.0,3.0,9.0,
