Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Black, Simon",8,3,22,30,1,,,2.0,1.0,4.0,8.0,2.0,2.0,1.0,,13.0,19.0,,,1.0,1.0,1.0,79.0
17,"Brennan, Jared",10,9,9,19,1,1.0,,1.0,1.0,2.0,,2.0,,1.0,,4.0,15.0,,2.0,,1.0,,82.0
16,"Brown, Jonathan",18,12,3,21,8,2.0,,,,3.0,2.0,5.0,2.0,1.0,3.0,11.0,10.0,4.0,7.0,2.0,,,100.0
1,"Clark, Mitch",12,10,10,22,,,31.0,3.0,2.0,5.0,1.0,2.0,,1.0,2.0,3.0,19.0,1.0,1.0,3.0,3.0,1.0,86.0
22,"Collier, Tom",2,,3,5,,,,,,,,,1.0,,,1.0,4.0,,,3.0,,,60.0
34,"Dalziell, Bradd",6,3,10,16,,,,2.0,2.0,,,1.0,,,,1.0,15.0,,,1.0,,,67.0
39,"Drummond, Josh",15,8,10,25,,,,1.0,6.0,5.0,1.0,2.0,,1.0,,3.0,21.0,,,3.0,4.0,1.0,80.0
42,"Hanley, Pearce",3,1,7,10,,,,,,1.0,2.0,,1.0,,,4.0,6.0,,,1.0,2.0,,73.0
26,"Macdonald, Joel",8,3,7,15,,,,2.0,3.0,1.0,,3.0,1.0,1.0,,3.0,11.0,1.0,,2.0,4.0,1.0,90.0
9,"McGrath, Ashley",11,10,10,21,,,,1.0,6.0,2.0,3.0,,,,,3.0,17.0,,,1.0,5.0,,81.0
21,"Merrett, Daniel",6,8,7,13,,,,,3.0,,1.0,1.0,1.0,,,2.0,11.0,,,8.0,2.0,,100.0
8,"Notting, Tim",6,5,7,13,1,,,2.0,,6.0,,1.0,,1.0,,4.0,9.0,1.0,1.0,1.0,,1.0,78.0
24,"Patfull, Joel",6,2,2,8,,,,2.0,1.0,1.0,,,,,,,8.0,,,3.0,1.0,,94.0
31,"Polkinghorne, James",10,10,2,12,2,1.0,,3.0,,3.0,,1.0,,,,3.0,9.0,1.0,4.0,1.0,1.0,1.0,91.0
6,"Power, Luke",17,1,9,26,,1.0,,1.0,1.0,3.0,3.0,,,,,6.0,19.0,,,2.0,2.0,1.0,83.0
2,"Proud, Albert",3,5,11,14,,1.0,,1.0,1.0,1.0,1.0,4.0,1.0,,,7.0,7.0,1.0,2.0,,,,72.0
30,"Redden, Jack",11,10,11,22,2,,,2.0,3.0,4.0,1.0,1.0,1.0,,,5.0,17.0,,,,,1.0,73.0
10,"Rich, Daniel",10,2,8,18,,2.0,,3.0,5.0,4.0,4.0,2.0,1.0,1.0,,7.0,9.0,,,1.0,,1.0,82.0
35,"Rischitelli, Michael",6,4,11,17,,,,7.0,1.0,3.0,2.0,3.0,1.0,3.0,,5.0,12.0,,,2.0,,,82.0
3,"Sheldon, Sam",6,3,2,8,1,,,1.0,,4.0,,1.0,1.0,1.0,,2.0,6.0,,1.0,2.0,,3.0,68.0
11,"Sherman, Justin",10,5,12,22,1,1.0,,5.0,1.0,3.0,,1.0,,,1.0,5.0,16.0,1.0,1.0,1.0,10.0,1.0,87.0
32,"Stiller, Cheynee",10,4,6,16,,,,1.0,2.0,1.0,2.0,,,,,4.0,12.0,,,3.0,,,92.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,194,118,179,373,17,14.0,31.0,40.0,39.0,56.0,31.0,32.0,13.0,12.0,6.0,96.0,272.0,10.0,19.0,41.0,36.0,13.0,
Opposition,Opposition,204,121,219,423,11,9.0,31.0,32.0,34.0,55.0,33.0,44.0,12.0,13.0,,112.0,312.0,11.0,9.0,51.0,19.0,8.0,
