Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",29,4,17,46,2,,,3.0,,,,,2.0,1.0,3.0,,,,,,,,
35,"Baxter, Darren",19,8,8,27,,1.0,,1.0,,,,,3.0,1.0,,,,,,,,,
6,"Campbell, Tony",10,4,3,13,,,,,,,,,6.0,,,,,,,,,,
20,"Coleman, Glenn",8,2,6,14,1,2.0,2.0,,,,,,,,,,,,,,,,
26,"Del-Re, Danny",10,5,3,13,6,3.0,,1.0,,,,,1.0,,,,,,,,,,
29,"Grant, Chris",9,7,7,16,4,,,,,,,,1.0,2.0,,,,,,,,,
7,"Hawkins, Doug",7,5,9,16,,,2.0,,,,,,,1.0,,,,,,,,,
10,"Hunter, Mark",16,4,2,18,,,,,,,,,2.0,1.0,,,,,,,,,
4,"Kellett, Nigel",8,4,8,16,,,,2.0,,,,,,1.0,,,,,,,,,
46,"Kretiuk, Steven",,,1,1,,,,,,,,,,,,,,,,,,,
39,"Liberatore, Tony",13,,15,28,1,1.0,,5.0,,,,,2.0,2.0,,,,,,,,,
27,"Macpherson, Stephen",14,6,7,21,1,,,2.0,,,,,2.0,3.0,,,,,,,,,
25,"Mansfield, Matthew",7,,1,8,,,,1.0,,,,,1.0,1.0,,,,,,,,,
2,"Reynolds, Keenan",8,3,2,10,,,,1.0,,,,,2.0,,,,,,,,,,
33,"Royal, Brian",13,7,7,20,4,2.0,,1.0,,,,,3.0,1.0,,,,,,,,,
31,"Smith, Rohan",7,2,2,9,1,2.0,,5.0,,,,,,3.0,,,,,,,,,
17,"Standfield, Barry",11,9,8,19,1,,,3.0,,,,,1.0,3.0,,,,,,,,,
8,"Toohey, Bernard",13,8,5,18,,,,,,,,,1.0,1.0,,,,,,,,,
24,"Wallis, Stephen",14,5,13,27,1,,,4.0,,,,,,,,,,,,,,,
15,"Wynd, Scott",5,9,16,21,,,19.0,,,,,,,3.0,2.0,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,221,92,140,361,22,14.0,23.0,29.0,,,,,27.0,24.0,5.0,,,,,,,,
Opposition,Opposition,211,76,149,360,11,18.0,9.0,36.0,,,,,24.0,27.0,1.0,,,,,,,,
