Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
12,"Ball, Luke",29y 16d,197 (134-1-62 68.27%),83 (0.42),55 (44-1-10 80.91%),25 (0.45)
11,"Blair, Jarryd",23y 57d,70 (53-1-16 76.43%),59 (0.84),←,
16,"Brown, Nathan",24y 175d,79 (50-1-28 63.92%),7 (0.09),←,
32,"Cloke, Travis",26y 97d,184 (119-2-63 65.22%),312 (1.70),←,
4,"Didak, Alan",30y 115d,215 (137-1-77 63.95%),272 (1.27),←,
18,"Jolly, Darren",31y 216d,236 (139-4-93 59.75%),121 (0.51),70 (53-2-15 77.14%),51 (0.73)
27,"Kennedy, Ben",19y 99d,6 (4-0-2 66.67%),6 (1.00),←,
21,"Lynch, Quinten",30y 137d,220 (124-0-96 56.36%),286 (1.30),11 (7-0-4 63.64%),5 (0.45)
3,"Macaffer, Brent",25y 102d,40 (28-2-10 72.50%),23 (0.57),←,
37,"Martin, Kyle",22y 266d,2 (2-0-0 100.00%),5 (2.50),←,
5,"Maxwell, Nick",30y 7d,186 (120-2-64 65.05%),28 (0.15),←,
8,"Lumumba, Heritier",26y 207d,170 (114-2-54 67.65%),21 (0.12),←,
43,"Oxley, Adam",20y 221d,1 (1-0-0 100.00%),,←,
10,"Pendlebury, Scott",25y 154d,159 (107-2-50 67.92%),105 (0.66),←,
20,"Reid, Ben",24y 42d,84 (57-2-25 69.05%),8 (0.10),←,
40,"Seedsman, Paul",21y 139d,20 (13-0-7 65.00%),6 (0.30),←,
39,"Shaw, Heath",27y 195d,161 (103-2-56 64.60%),37 (0.23),←,
22,"Sidebottom, Steele",22y 159d,96 (71-2-23 75.00%),77 (0.80),←,
28,"Sinclair, Ben",21y 252d,30 (20-0-10 66.67%),18 (0.60),←,
36,"Swan, Dane",29y 105d,207 (130-2-75 63.29%),166 (0.80),←,
24,"Thomas, Josh",21y 252d,7 (6-0-1 85.71%),3 (0.43),←,
46,"Williams, Marley",19y 323d,10 (8-0-2 80.00%),1 (0.10),←,
Totals,Totals,25y 52d,2380 (1540-26-814 64.71%),1644 (0.69),,
C,"Buckley, Nathan",40y 319d,36 (24-0-12 66.67%),,←,
