Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
20,"Brogan, Dean",24y 176d,18 (14-0-4 77.78%),7 (0.39),←,
7,"Burgoyne, Peter",25y 130d,121 (66-2-53 55.37%),143 (1.18),←,
8,"Burgoyne, Shaun",20y 230d,28 (23-0-5 82.14%),52 (1.86),←,
9,"Carr, Josh",23y 40d,72 (49-1-22 68.75%),36 (0.50),←,
25,"Cassisi, Domenic",20y 259d,10 (8-0-2 80.00%),,←,
26,"Cochrane, Stuart",24y 323d,61 (31-0-30 50.82%),13 (0.21),11 (8-0-3 72.73%),2 (0.18)
35,"Cornes, Chad",23y 208d,85 (51-1-33 60.59%),91 (1.07),←,
18,"Cornes, Kane",20y 154d,33 (23-0-10 69.70%),12 (0.36),←,
38,"James, Roger",27y 230d,111 (65-2-44 59.46%),70 (0.63),←,
29,"Kingsley, Adam",27y 292d,119 (66-2-51 56.30%),24 (0.20),←,
5,"Lade, Brendon",26y 333d,89 (47-2-40 53.93%),59 (0.66),←,
3,"Montgomery, Brett",30y 7d,137 (86-2-49 63.50%),87 (0.64),77 (46-1-30 60.39%),33 (0.43)
14,"Paxman, Stephen",32y 186d,226 (87-2-137 38.94%),36 (0.16),124 (65-2-57 53.23%),18 (0.15)
15,"Pickett, Byron",25y 301d,131 (82-0-49 62.60%),94 (0.72),11 (8-0-3 72.73%),13 (1.18)
27,"Poulton, Jared",26y 48d,64 (39-1-24 61.72%),16 (0.25),←,
31,"Salopek, Steven",17y 352d,5 (3-0-2 60.00%),3 (0.60),←,
6,"Schofield, Jarrad",28y 129d,155 (93-1-61 60.32%),108 (0.70),92 (54-1-37 59.24%),74 (0.80)
36,"Stevens, Nick",23y 156d,115 (65-2-48 57.39%),72 (0.63),←,
16,"Tredrea, Warren",24y 166d,116 (65-1-50 56.47%),228 (1.97),←,
2,"Wakelin, Darryl",28y 301d,168 (91-1-76 54.46%),11 (0.07),53 (38-0-15 71.70%),3 (0.06)
4,"Wanganeen, Gavin",29y 355d,243 (140-5-98 58.64%),156 (0.64),116 (67-2-47 58.62%),93 (0.80)
21,"Wilson, Michael",26y 199d,105 (52-3-50 50.95%),33 (0.31),←,
Totals,Totals,25y 158d,2212 (1246-28-938 56.33%),1351 (0.61),,
C,"Williams, Mark",44y 291d,104 (61-1-42 59.13%),,←,
