Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
23,"Clarkson, Alastair",28y 7d,99 (43-2-54 44.44%),66 (0.67),6 (1-0-5 16.67%),5 (0.83)
33,"Farmer, Jeff",18y 315d,10 (0-0-10 0.00%),5 (0.50),←,
20,"Febey, Matthew",26y 259d,76 (36-0-40 47.37%),21 (0.28),←,
16,"Grant, David",29y 271d,196 (70-1-125 35.97%),75 (0.38),5 (1-0-4 20.00%),
15,"Hopgood, Paul",22y 288d,46 (24-0-22 52.17%),3 (0.07),←,
27,"Ingerson, Anthony",26y 204d,43 (17-0-26 39.53%),25 (0.58),6 (1-0-5 16.67%),
34,"Irving, Dean",29y 246d,57 (36-1-20 64.04%),12 (0.21),14 (4-0-10 28.57%),3 (0.21)
7,"Kowal, Darren",23y 321d,58 (29-0-29 50.00%),29 (0.50),←,
17,"Lovett, Brett",29y 350d,203 (112-1-90 55.42%),36 (0.18),←,
28,"Molloy, Glenn",24y 234d,18 (9-0-9 50.00%),4 (0.22),←,
9,"Neitz, David",21y 103d,72 (33-0-39 45.83%),58 (0.81),←,
18,"Nettelbeck, Craig",23y 344d,50 (11-2-37 24.00%),36 (0.72),5 (1-0-4 20.00%),9 (1.80)
25,"Norman, Luke",24y 140d,10 (3-0-7 30.00%),3 (0.30),←,
38,"OBrien, Darren",27y 43d,3 (0-0-3 0.00%),,←,
4,"Obst, Andrew",31y 259d,115 (61-0-54 53.04%),51 (0.44),←,
19,"Prymke, Paul",25y 148d,49 (21-0-28 42.86%),2 (0.04),←,
10,"Seecamp, Marcus",23y 282d,79 (28-0-51 35.44%),15 (0.19),28 (10-0-18 35.71%),5 (0.18)
29,"Smith, Shaun",26y 317d,74 (37-1-36 50.68%),104 (1.41),27 (10-0-17 37.04%),66 (2.44)
11,"Stynes, Jim",30y 11d,206 (112-1-93 54.61%),119 (0.58),←,
2,"Tingay, Stephen",25y 265d,122 (66-0-56 54.10%),57 (0.47),←,
8,"Turley, Craig",30y 254d,121 (75-2-44 62.81%),96 (0.79),6 (1-0-5 16.67%),5 (0.83)
Totals,Totals,26y 100d,1707 (823-11-873 48.21%),817 (0.48),,
C,"Balme, Neil",44y 110d,73 (34-0-39 46.58%),,←,
