Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Bell, Peter",16,4,10,26,3,,,1.0,1.0,4.0,3.0,1.0,1.0,,3.0,7.0,17.0,,,4.0,3.0,,94.0
21,"Black, Heath",11,1,7,18,,1.0,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,,3.0,15.0,,,1.0,1.0,,85.0
2,"Carr, Josh",10,4,6,16,1,,,2.0,,1.0,4.0,3.0,1.0,1.0,,8.0,8.0,1.0,1.0,1.0,,1.0,81.0
15,"Crowley, Ryan",8,3,6,14,,,,,3.0,2.0,1.0,2.0,,2.0,,3.0,11.0,,,,2.0,2.0,86.0
33,"Farmer, Jeff",12,8,7,19,3,3.0,,2.0,,2.0,1.0,3.0,2.0,1.0,,8.0,12.0,1.0,4.0,,,,95.0
40,"Foster, Andrew",3,5,7,10,,,,1.0,1.0,1.0,,2.0,,1.0,,1.0,8.0,,,3.0,,1.0,50.0
27,"Gilmore, Daniel",20,8,11,31,1,1.0,8.0,2.0,2.0,10.0,8.0,5.0,,1.0,2.0,11.0,20.0,,,2.0,4.0,1.0,68.0
14,"Grover, Antoni",6,2,5,11,,,,1.0,,,,2.0,1.0,1.0,,5.0,7.0,,,7.0,,,100.0
4,"Hasleby, Paul",14,10,21,35,,1.0,,4.0,4.0,3.0,5.0,2.0,1.0,1.0,,9.0,27.0,,1.0,,5.0,,81.0
43,"Hayden, Roger",7,4,7,14,,,,1.0,3.0,3.0,,4.0,1.0,1.0,,3.0,12.0,,,3.0,1.0,,81.0
37,"Johnson, Michael",8,4,9,17,,,,1.0,3.0,,1.0,,,,,9.0,8.0,2.0,,5.0,,,100.0
8,"McManus, Shaun",7,5,7,14,,,,3.0,1.0,3.0,1.0,2.0,,1.0,,1.0,13.0,,1.0,4.0,,1.0,55.0
18,"McPharlin, Luke",5,7,6,11,1,1.0,,2.0,,1.0,,,,,,1.0,9.0,,2.0,2.0,,,98.0
16,"Mundy, David",11,8,8,19,,1.0,1.0,,6.0,1.0,,2.0,,,,5.0,14.0,,1.0,1.0,1.0,,77.0
28,"Murphy, Ryan",6,3,5,11,,,,,,2.0,1.0,1.0,,,,1.0,9.0,,1.0,2.0,,,93.0
29,"Pavlich, Matthew",22,16,8,30,6,3.0,,1.0,,8.0,1.0,3.0,1.0,2.0,1.0,10.0,19.0,3.0,5.0,,,2.0,93.0
7,"Peake, Brett",10,2,9,19,,,,1.0,2.0,5.0,2.0,2.0,2.0,,,5.0,14.0,,,,5.0,1.0,75.0
3,"Schammer, Byron",10,2,8,18,,,,2.0,,2.0,1.0,2.0,2.0,1.0,,5.0,14.0,,,,3.0,1.0,58.0
6,"Solomon, Dean",16,7,5,21,2,1.0,1.0,4.0,,4.0,,3.0,2.0,3.0,,4.0,18.0,,3.0,1.0,,2.0,93.0
17,"Tarrant, Chris",8,4,4,12,3,,1.0,1.0,,5.0,,2.0,3.0,,,5.0,6.0,,1.0,2.0,,1.0,94.0
22,"Thornton, Scott",3,3,16,19,,,,1.0,1.0,1.0,,2.0,1.0,1.0,,4.0,15.0,1.0,,1.0,,,94.0
34,"Warnock, Robert",6,3,8,14,1,,8.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,,8.0,6.0,,,1.0,,1.0,47.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,219,113,180,399,21,14.0,19.0,33.0,31.0,62.0,36.0,46.0,20.0,19.0,6.0,116.0,282.0,8.0,20.0,40.0,25.0,14.0,
Opposition,Opposition,207,116,141,348,11,11.0,32.0,42.0,39.0,47.0,24.0,46.0,19.0,20.0,,114.0,235.0,9.0,5.0,36.0,24.0,7.0,
