North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
15,"Abraham, Winston",23y 340d,61 (35-0-26 57.38%),92 (1.51),23 (17-0-6 73.91%),37 (1.61)
11,"Archer, Glenn",25y 164d,137 (87-0-50 63.50%),88 (0.64),←,
26,"Bell, Peter",22y 187d,73 (48-0-25 65.75%),65 (0.89),71 (48-0-23 67.61%),63 (0.89)
12,"Blakey, John",32y 42d,272 (140-0-132 51.47%),84 (0.31),137 (88-0-49 64.23%),46 (0.34)
16,"Capuano, Mathew",23y 2d,47 (35-0-12 74.47%),14 (0.30),←,
18,"Carey, Wayne",27y 100d,185 (113-0-72 61.08%),489 (2.64),←,
9,"Chandler, Brett",23y 55d,68 (27-0-41 39.71%),8 (0.12),40 (26-0-14 65.00%),6 (0.15)
17,"Freeborn, Glenn",25y 210d,53 (37-0-16 69.81%),27 (0.51),←,
6,"Grant, Shannon",21y 138d,81 (49-1-31 61.11%),80 (0.99),23 (17-0-6 73.91%),42 (1.83)
29,"Harvey, Brent",20y 113d,39 (27-0-12 69.23%),42 (1.08),←,
34,"King, David",26y 181d,109 (71-0-38 65.14%),35 (0.32),←,
35,"Longmire, John",27y 247d,190 (98-1-91 51.84%),511 (2.69),←,
4,"Martyn, Mick",30y 4d,219 (127-1-91 58.22%),14 (0.06),←,
5,"McCartney, Jason",24y 174d,95 (48-0-47 50.53%),49 (0.52),20 (14-0-6 70.00%),1 (0.05)
31,"McKernan, Corey",24y 259d,112 (77-0-35 68.75%),120 (1.07),←,
28,"Pickett, Byron",21y 24d,24 (17-0-7 70.83%),,←,
13,"Pike, Martin",25y 294d,101 (41-0-60 40.59%),52 (0.51),41 (29-0-12 70.73%),12 (0.29)
22,"Roberts, Mark",33y 68d,199 (104-0-95 52.26%),166 (0.83),122 (78-0-44 63.93%),147 (1.20)
3,"Rock, Anthony",27y 340d,176 (107-0-69 60.80%),138 (0.78),←,
24,"Sholl, Craig",30y 248d,198 (117-0-81 59.09%),119 (0.60),←,
37,"Simpson, Adam",22y 200d,63 (46-0-17 73.02%),28 (0.44),←,
10,"Stevens, Anthony",27y 64d,179 (109-0-70 60.89%),84 (0.47),←,
Totals,Totals,25y 273d,2681 (1560-3-1118 58.19%),2305 (0.86),,
C,"Pagan, Denis",50y 345d,143 (93-0-50 65.03%),,←,
