St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
2,"Brown, Tony",22y 50d,94 (51-0-43 54.26%),55 (0.59),←,
3,"Burke, Nathan",29y 161d,264 (121-2-141 46.21%),96 (0.36),←,
31,"Elliott, Tim",22y 308d,27 (15-0-12 55.56%),6 (0.22),←,
14,"Francis, Tony",30y 107d,157 (82-2-73 52.87%),108 (0.69),15 (8-0-7 53.33%),5 (0.33)
42,"Gowans, James",22y 126d,2 (0-0-2 0.00%),2 (1.00),←,
25,"Hall, Barry",22y 159d,47 (27-0-20 57.45%),56 (1.19),←,
7,"Hayes, Lenny",19y 184d,11 (6-0-5 54.55%),4 (0.36),←,
6,"Healy, Daniel",25y 75d,38 (22-0-16 57.89%),24 (0.63),←,
8,"Hudghton, Max",22y 318d,57 (32-0-25 56.14%),1 (0.02),←,
5,"Jones, Austinn",22y 292d,102 (51-0-51 50.00%),87 (0.85),←,
23,"Loewe, Stewart",31y 55d,271 (125-1-145 46.31%),519 (1.92),←,
26,"McLaren, Joe",21y 218d,40 (18-0-22 45.00%),22 (0.55),←,
11,"Mitchell, Gavin",26y 201d,74 (33-0-41 44.59%),67 (0.91),38 (20-0-18 52.63%),49 (1.29)
1,"Peckett, Justin",26y 285d,133 (64-1-68 48.50%),12 (0.09),←,
28,"Ryan, Damien",21y 348d,45 (22-0-23 48.89%),7 (0.16),15 (8-0-7 53.33%),1 (0.07)
19,"Sziller, Steven",26y 214d,90 (49-0-41 54.44%),34 (0.38),←,
4,"Thompson, Andrew",26y 269d,61 (36-0-25 59.02%),42 (0.69),←,
21,"Thompson, Ben",25y 316d,8 (4-0-4 50.00%),1 (0.13),←,
15,"Wakelin, Darryl",24y 340d,91 (49-0-42 53.85%),8 (0.09),←,
12,"Wakelin, Shane",24y 339d,84 (39-1-44 47.02%),18 (0.21),←,
33,"Walton, Ben",19y 247d,15 (7-0-8 46.67%),8 (0.53),←,
20,"Young, Matthew",26y 303d,94 (51-0-43 54.26%),19 (0.20),73 (42-0-31 57.53%),13 (0.18)
Totals,Totals,24y 257d,1805 (904-7-894 50.08%),1196 (0.66),,
C,"Watson, Tim",38y 4d,16 (8-0-8 50.00%),,←,
