Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
30,"Bayes, Mark",26y 69d,162 (68-2-92 42.59%),119 (0.73),←,
13,"Brunton, Neil",24y 140d,33 (4-1-28 13.64%),4 (0.12),←,
12,"Considine, Ed",24y 246d,56 (32-0-24 57.14%),13 (0.23),7 (0-0-7 0.00%),1 (0.14)
28,"Cresswell, Daryn",22y 1d,14 (0-0-14 0.00%),12 (0.86),←,
43,"Direen, Scott",20y 215d,1 (0-0-1 0.00%),1 (1.00),←,
6,"Dunkley, Andrew",24y 328d,24 (2-1-21 10.42%),1 (0.04),←,
31,"Holmes, Darren",22y 262d,29 (5-2-22 20.69%),4 (0.14),←,
19,"John, Gareth",21y 126d,18 (1-0-17 5.56%),3 (0.17),←,
14,"Kelly, Paul",23y 299d,60 (11-2-47 20.00%),32 (0.53),←,
3,"Lewis, Dale",24y 19d,52 (10-2-40 21.15%),57 (1.10),←,
16,"McGovern, Andrew",25y 46d,15 (3-1-11 23.33%),7 (0.47),←,
4,"McRae, Dean",24y 192d,89 (34-1-54 38.76%),27 (0.30),8 (0-0-8 0.00%),2 (0.25)
8,"Minton-Connell, Simon",24y 27d,40 (10-0-30 25.00%),123 (3.08),21 (1-0-20 4.76%),73 (3.48)
44,"Osborne, Richard",28y 341d,192 (80-0-112 41.67%),418 (2.18),5 (0-0-5 0.00%),7 (1.40)
22,"Rose, Gavin",23y 236d,13 (1-1-11 11.54%),,←,
15,"Strooper, David",25y 87d,72 (17-1-54 24.31%),79 (1.10),29 (3-1-25 12.07%),51 (1.76)
42,"Thomson, Andrew",20y 144d,2 (0-0-2 0.00%),1 (0.50),←,
10,"Watters, Scott",24y 118d,54 (30-2-22 57.41%),19 (0.35),8 (0-0-8 0.00%),6 (0.75)
9,"Werner, Michael",23y 347d,47 (26-0-21 55.32%),71 (1.51),7 (0-0-7 0.00%),11 (1.57)
27,"Wheeler, Sanford",23y 47d,29 (3-1-25 12.07%),5 (0.17),←,
Totals,Totals,23y 329d,1002 (337-17-648 33.63%),996 (0.99),,
C,"Barassi, Ron",57y 85d,459 (263-4-192 57.73%),,3 (0-0-3 0.00%),
